Time(ms),MotorCurrent,Position,Velocity,Acceleration
12762,5.00,0,0.00,0.00
12772,17.00,0,0.00,0.00
12783,397.00,0,0.00,0.00
12795,2.00,2,170.93,14607.77
12807,16.00,2,0.00,-14514.74
12819,177.00,2,0.00,0.00
12836,134.00,2,0.00,0.00
12847,265.00,1,-85.40,-7293.91
12859,1.00,3,170.15,21742.32
12871,55.00,2,-84.77,-21609.07
12883,199.00,0,-169.84,-7223.98
12895,162.00,0,0.00,14492.44
12906,270.00,1,85.48,7306.38
12918,2.00,4,255.15,14430.01
12930,65.00,4,0.00,-21607.84
12942,230.00,1,-254.67,-21618.75
12957,269.00,0,-65.88,12436.94
12969,128.00,1,83.81,12544.79
12981,180.00,25,2013.59,161908.17
12993,34.00,52,2267.38,21312.69
13004,256.00,80,2353.14,7206.96
13016,39.00,111,2595.66,20306.77
13028,165.00,142,2590.02,-471.09
13040,23.00,169,2265.10,-27258.69
13052,219.00,197,2349.78,7106.51
13064,1.00,226,2431.87,6883.36
13076,127.00,252,2186.34,-20645.99
13088,157.00,281,2430.64,20476.00
13100,160.00,310,2435.95,445.90
13112,192.00,340,2517.20,6817.38
13124,77.00,369,2435.13,-6891.24
13139,112.00,403,2249.87,-12259.49
13151,250.00,429,2185.06,-5446.68
13163,123.00,456,2266.81,6863.79
13174,173.00,3,-38006.54,-3378920.75
13186,29.00,3,0.00,3178867.86
13201,1.00,3,0.00,0.00
13212,85.00,1,-168.98,-14276.45
13224,253.00,1,0.00,14133.16
13236,158.00,0,-84.05,-7064.02
13248,159.00,2,167.55,21076.82
13260,26.00,1,-83.77,-21051.47
13272,305.00,1,0.00,7011.48
13284,144.00,0,-84.08,-7068.77
13296,97.00,22,1850.92,162795.98
13308,131.00,45,1933.10,6907.12
13320,252.00,64,1601.48,-27951.33
13335,299.00,90,1723.45,8084.90
13347,127.00,111,1772.15,4109.68
13358,25.00,131,1684.21,-7405.59
13370,334.00,151,1685.63,119.64
13382,43.00,172,1770.51,7156.09
13394,52.00,194,1854.66,7094.38
13406,323.00,218,2017.65,13702.61
13418,144.00,242,2023.44,487.62
13430,130.00,265,1934.72,-7462.49
13442,84.00,293,2350.97,34948.91
13454,241.00,17,-23096.23,-2129472.79
13466,228.00,175,12652.15,2862618.54
13478,163.00,187,1004.10,-974650.32
13490,201.00,212,2102.96,92434.46
13502,28.00,239,2273.11,14324.72
13517,65.00,273,2253.75,-1283.62
13529,262.00,302,2434.11,15138.99
13541,70.00,4,-25025.19,-2305954.34
13553,170.00,3,-83.77,2089246.69
13567,96.00,0,-213.68,-9252.78
13579,174.00,2,167.83,32013.32
13590,20.00,1,-84.05,-21169.54
13602,219.00,1,0.00,7048.03
13614,2.00,4,252.04,21174.27
13626,148.00,3,-83.72,-28108.36
13638,69.00,1,-167.28,-6989.21
13650,196.00,0,-84.14,6995.40
13662,203.00,2,168.49,21283.21
13674,23.00,5,253.31,7162.22
13686,235.00,1,-336.45,-49605.49
13698,19.00,0,-83.68,21151.75
13713,113.00,0,0.00,5523.20
13725,175.00,2,167.97,14106.70
13737,52.00,21,1589.43,118910.63
13749,250.00,47,2185.79,50135.87
13761,66.00,74,2262.44,6422.92
13772,154.00,101,2267.38,414.83
13784,71.00,128,2267.95,47.99
13796,210.00,155,2271.96,337.23
13808,1.00,184,2432.68,13482.05
13820,98.00,216,2685.92,21255.15
13832,235.00,244,2345.26,-28533.44
13844,141.00,271,2267.95,-6493.10
13856,184.00,296,2092.40,-14693.19
13868,29.00,323,2270.82,15005.50
13880,253.00,349,2183.22,-7355.20
13895,305.00,383,2247.64,4258.21
13907,90.00,397,1179.94,-89986.99
13919,146.00,415,1513.24,28020.16
13933,186.00,444,2049.47,37896.05
13945,153.00,467,1936.84,-9484.45
13956,7.00,490,1931.31,-464.33
13968,258.00,513,1935.05,314.42
13980,5.00,537,2016.64,6855.53
13992,81.00,560,1935.70,-6811.66
14004,302.00,582,1852.01,-7045.48
14016,176.00,604,1849.52,-209.43
14028,116.00,626,1846.88,-221.58
14040,87.00,647,1767.83,-6654.73
14052,306.00,666,1599.33,-14183.42
14063,1.00,687,1766.78,14088.66
14078,126.00,713,1740.53,-1757.73
14090,165.00,734,1786.02,3868.90
14102,160.00,755,1789.67,311.32
14114,44.00,776,1790.89,104.13
14125,297.00,801,2127.66,28661.07
14137,137.00,824,1960.45,-14252.43
14149,140.00,847,1955.28,-439.22
14161,166.00,875,2377.31,35832.07
14172,128.00,9,-73389.83,-6420944.42
14185,158.00,172,13186.64,7004001.77
14197,50.00,192,1681.80,-967443.03
14208,143.00,213,1786.78,8931.76
14220,140.00,238,2126.21,28868.35
14232,269.00,264,2204.32,6622.46
14244,2.00,290,2211.26,589.94
14259,182.00,324,2296.83,5780.67
14270,133.00,351,2295.53,-110.84
14282,66.00,375,2040.47,-21684.97
14296,164.00,405,2174.86,9742.59
14308,165.00,2,-34297.87,-3104062.21
14319,191.00,0,-169.32,2889311.97
14331,59.00,0,0.00,14328.45
14343,127.00,1,84.98,7222.18
14355,246.00,1,0.00,-7210.54
14367,0.00,11,848.82,72050.28
14378,34.00,14,254.99,-50474.35
14390,187.00,41,2293.97,173234.84
14402,178.00,67,2207.88,-7310.40
14414,129.00,95,2376.10,14275.52
14425,107.00,126,2621.79,20778.33
14440,89.00,161,2336.76,-19029.62
14452,183.00,189,2343.68,579.56
14464,7.00,217,2351.76,677.88
14476,224.00,243,2185.24,-13995.14
14488,1.00,269,2183.77,-123.33
14500,155.00,299,2513.19,27596.66
14512,112.00,330,2595.88,6923.95
14524,217.00,361,2597.84,164.07
14536,1.00,388,2266.05,-27846.14
14548,110.00,414,2179.01,-7294.40
14560,270.00,441,2269.29,7587.37
14572,137.00,463,1848.12,-35380.60
14583,166.00,466,253.14,-134585.70
14595,111.00,0,-39334.85,-3341605.12
14607,151.00,0,0.00,3317717.00
14622,203.00,36,2389.80,158643.36
14634,197.00,6,-2519.31,-412253.80
14646,88.00,3,-251.15,189883.94
14660,183.00,3,0.00,17917.61
14672,58.00,1,-168.24,-14151.82
14684,298.00,1,0.00,14102.00
14696,95.00,0,-84.26,-7099.78
14708,117.00,8,672.04,63533.54
14720,120.00,32,2018.50,113243.06
14731,236.00,56,2016.47,-170.99
14743,151.00,79,1934.72,-6876.15
14755,3.00,99,1685.77,-20983.82
14767,343.00,120,1765.60,6711.28
14779,72.00,141,1768.87,275.59
14791,58.00,161,1684.64,-7095.00
14803,292.00,183,1851.54,14046.80
14818,235.00,211,1858.86,485.91
14830,200.00,234,1938.31,6695.74
14842,130.00,259,2102.61,13818.01
14853,73.00,284,2105.44,238.61
14865,241.00,309,2106.33,74.73
14877,1.00,335,2188.92,6953.47
14889,140.00,47,-23918.28,-2168192.00
14902,190.00,161,9129.49,2646574.35
14914,69.00,194,2765.67,-533340.81
14926,260.00,218,2021.39,-62686.69
14937,43.00,243,2103.14,6876.82
14949,150.00,271,2351.95,20900.05
14961,66.00,302,2597.18,20545.58
14973,226.00,5,-24872.29,-2300433.28
14988,252.00,1,-264.06,1624519.90
15000,73.00,0,-84.01,15126.34
