Time(ms),MotorCurrent,Position,Velocity,Acceleration
11209,4.000000,-106,0.000000,0.000000
11210,6.000000,-106,0.000000,0.000000
11211,5.000000,-106,0.000000,0.000000
11213,5.000000,-106,0.000000,0.000000
11214,5.000000,-106,0.000000,0.000000
11215,6.000000,-106,0.000000,0.000000
11216,5.000000,-106,0.000000,0.000000
11218,5.000000,-106,0.000000,0.000000
11219,5.000000,-106,0.000000,0.000000
11220,6.000000,-106,0.000000,0.000000
11221,5.000000,-106,0.000000,0.000000
11524,7.000000,-105,3.309187,10.950721
11525,91.000000,-105,0.000000,-1909.513732
11543,91.000000,1,61.888848,-3913185.443302
11545,308.000000,1,0.000000,-31256.993752
11547,39.000000,1,0.000000,0.000000
11548,37.000000,1,0.000000,0.000000
11550,57.000000,1,0.000000,0.000000
11551,23.000000,0,-740.740741,-548696.844993
11553,145.000000,0,0.000000,374111.485223
11555,304.000000,0,0.000000,0.000000
11556,322.000000,1,724.637681,525099.768956
11558,85.000000,1,0.000000,-363773.936325
11560,22.000000,2,607.533414,369096.849537
11562,235.000000,1,-507.099391,-565229.617555
11584,184.000000,33,1489.239047,47462.812935
11586,11.000000,37,2025.316456,271431.599397
11588,52.000000,42,2517.623364,247888.674647
11590,104.000000,2,-20140.986908,-11409169.321200
11592,1.000000,1,-489.715965,9623541.108530
11594,299.000000,0,-524.934383,-18487.358773
11596,157.000000,2,1012.658228,778527.904329
11598,265.000000,1,-496.524330,-749345.857766
11600,124.000000,2,499.500500,497514.899697
11602,242.000000,1,-498.753117,-497882.103096
11604,104.000000,3,984.736583,730423.289104
11624,275.000000,2,111.470293,89857.355276
11626,125.000000,3,515.463918,208244.136267
11628,224.000000,0,-1529.051988,-1042057.036337
11630,79.000000,2,986.679822,1241110.907827
11632,170.000000,1,-497.512438,-738404.109557
11634,10.000000,0,-515.463918,-9253.340059
11636,1.000000,2,1062.699256,838556.415322
11638,277.000000,1,-523.012552,-829347.180132
11640,136.000000,2,501.253133,513416.383525
11642,261.000000,0,-1005.025126,-756923.747970
11644,108.000000,2,992.555831,991355.313595
11661,1.000000,2,135.980419,77474.348099
11662,310.000000,1,-531.349628,-354585.572197
11664,140.000000,1,0.000000,266607.941824
11666,127.000000,0,-572.082380,-327278.249349
11668,40.000000,1,503.018109,540795.014343
11670,1.000000,2,525.210084,11655.449255
11672,289.000000,0,-1062.699256,-843735.037271
11674,129.000000,2,990.099010,1016236.765352
11676,285.000000,1,-499.750125,-744552.291274
11678,75.000000,3,1021.450460,776915.518177
11680,183.000000,1,-1024.590164,-1048176.548969
11700,76.000000,3,55.887777,-24448.227455
11702,215.000000,1,-1014.198783,-542640.243562
11704,34.000000,2,490.196078,737448.461467
11706,204.000000,0,-999.000999,-743854.684032
11708,41.000000,2,1005.530417,1007808.655755
11710,107.000000,0,-998.003992,-999767.669317
11712,160.000000,0,0.000000,504042.420210
11714,78.000000,1,585.480094,342786.940092
11716,251.000000,0,-505.561173,-551588.102416
11718,26.000000,2,1000.000000,752780.586451
11719,135.000000,0,-1047.120419,-1071790.795208
11739,13.000000,9,391.652213,-33291.982855
11741,151.000000,14,2566.735113,1116572.330648
11743,108.000000,17,1478.560867,-536310.618785
11745,85.000000,20,1497.753370,9581.878444
11747,316.000000,23,1577.287066,41815.823502
11749,115.000000,26,1505.268440,-36135.788614
11751,336.000000,29,1503.006012,-1133.480719
11753,72.000000,32,1522.070015,9672.249212
11755,289.000000,35,1542.416452,10460.893173
11757,16.000000,39,2006.018054,232498.295747
11759,194.000000,42,1512.859304,-248693.267815
11779,27.000000,74,1566.433566,-22601.945920
11781,243.000000,78,2021.222840,229807.616667
11783,59.000000,81,1495.513460,-262068.484645
11785,147.000000,84,1511.335013,7970.555654
11787,159.000000,86,1009.081736,-253407.304225
11789,11.000000,90,2004.008016,498460.060326
11791,273.000000,93,1522.842640,-244246.383979
11793,114.000000,96,1477.832512,-22172.476492
11795,367.000000,100,1985.111663,251751.439313
11797,103.000000,104,1971.414490,-6750.701151
11799,316.000000,107,1540.041068,-221444.261876
11819,29.000000,141,1700.776688,-16963.734451
11821,194.000000,145,2056.555270,182919.579384
11823,47.000000,148,1480.750247,-284207.810035
11825,102.000000,151,1521.298174,20561.829437
11827,180.000000,155,2001.000500,239971.148478
11828,0.000000,158,1540.041068,-236632.152201
11830,270.000000,162,2271.436684,415329.708087
11832,21.000000,166,2008.032129,-132231.202404
11834,199.000000,170,2034.587996,13507.562267
11836,55.000000,175,2521.432173,245508.914545
11856,129.000000,217,2164.872102,7008.147369
11858,307.000000,222,2538.071066,189441.098657
11860,110.000000,226,1983.143282,-275125.326667
11862,276.000000,230,1974.333662,-4348.282188
11864,81.000000,234,1996.007984,10815.529762
11866,215.000000,238,2016.129032,10141.657372
11868,45.000000,242,1991.040319,-12488.160125
11870,112.000000,246,2070.393375,41073.010442
11872,92.000000,251,2523.977789,228967.397402
11874,3.000000,255,1995.012469,-263823.102328
11875,295.000000,259,2117.522499,64854.436129
11895,2.000000,51,-11920.085064,-806988.922912
11897,243.000000,75,11863.568957,11756625.813402
11900,73.000000,123,21380.846325,4239321.767560
11902,73.000000,164,18955.154877,-1121447.733556
11904,196.000000,190,12304.779934,-3147361.544601
11906,112.000000,186,-1932.367150,-6877848.832610
11908,196.000000,177,-4396.678065,-1203864.638839
11910,98.000000,179,976.562500,2623652.619854
11912,164.000000,188,4511.278195,1771787.316034
11914,100.000000,193,2410.800386,-1012766.542797
11934,235.000000,236,2228.039882,38673.065818
11936,133.000000,242,3003.003003,387869.429975
11938,203.000000,246,2000.000000,-501501.501502
11940,45.000000,2,-126359.399275,-66473018.785597
11942,116.000000,0,-986.193294,61821107.485750
11944,63.000000,3,1446.480231,1172938.054640
11946,128.000000,1,-975.609756,-1181507.310992
11948,20.000000,1,0.000000,483933.410763
11950,160.000000,3,1221.747098,746332.986164
11952,223.000000,0,-1480.750247,-1333907.870258
11954,148.000000,2,980.392157,1206442.354733
11974,276.000000,1,55.710306,58262.357454
11976,166.000000,2,507.872016,229640.279251
11978,242.000000,1,-496.277916,-498337.435178
11980,163.000000,2,493.096647,487857.279377
11982,220.000000,1,-501.002004,-498045.416308
11984,112.000000,1,0.000000,254057.811363
11986,1.000000,2,583.771162,340788.769238
11987,258.000000,1,-528.541226,-587902.953446
11989,164.000000,4,1487.357462,999453.985023
11991,237.000000,0,-1955.990220,-1683788.597372
11993,164.000000,2,987.166831,1452693.509992
12013,267.000000,1,0.000000,27466.985782
12015,66.000000,1,0.000000,0.000000
12016,101.000000,2,729.927007,532793.435985
12018,129.000000,0,-1005.025126,-871835.242677
12021,43.000000,3,1486.620416,1234710.377543
12023,88.000000,0,-1474.201474,-1454949.331919
12025,9.000000,1,494.559842,973670.284838
12026,2.000000,1,0.000000,-260568.936639
12028,142.000000,0,-615.763547,-379164.745565
12030,68.000000,2,987.166831,791179.850934
12032,106.000000,1,-496.524330,-736688.759129
12052,112.000000,4,-55.794231,-114981.128282
12054,134.000000,0,-2025.316456,-997226.442947
12056,67.000000,3,1485.884101,1739079.027606
12058,91.000000,1,-988.142292,-1222345.056092
12060,31.000000,2,494.315373,732801.614285
12062,4.000000,0,-1013.171226,-763671.022870
12064,184.000000,2,1039.501040,1066877.476839
12066,211.000000,3,496.770989,-269612.543928
12068,264.000000,1,-999.000999,-747138.854933
12070,186.000000,4,1510.574018,1263632.939138
12072,241.000000,2,-981.354269,-1222732.231118
12092,208.000000,3,0.000000,-27558.419647
12094,163.000000,1,-1180.637544,-696952.505475
12096,104.000000,4,1470.588235,1299620.480180
12098,145.000000,0,-1966.568338,-1689850.822785
12100,76.000000,1,499.500500,1231802.616259
12102,81.000000,1,0.000000,-249251.746258
12103,242.000000,1,0.000000,0.000000
12105,270.000000,1,0.000000,0.000000
12106,256.000000,1,0.000000,0.000000
12108,265.000000,1,0.000000,0.000000
12109,281.000000,1,0.000000,0.000000
12110,272.000000,1,0.000000,0.000000
12130,124.000000,1,56.126172,44328.556265
12132,200.000000,3,1018.848701,490434.299202
12133,240.000000,2,-513.347023,-786548.112708
12135,172.000000,3,496.524330,501425.696266
12137,225.000000,0,-1495.513460,-993039.775331
12139,129.000000,1,507.099391,1015523.758165
12141,163.000000,1,0.000000,-251412.687893
12143,170.000000,1,0.000000,0.000000
12145,220.000000,1,0.000000,0.000000
12146,186.000000,0,-736.919676,-543050.608515
12148,215.000000,2,1010.101010,882333.679725
12168,226.000000,1,56.753689,59274.007377
12169,129.000000,2,510.725230,231854.719528
12171,164.000000,2,0.000000,-254218.631073
12173,189.000000,2,0.000000,0.000000
12175,139.000000,2,0.000000,0.000000
12176,90.000000,1,-723.065799,-522824.149666
12178,202.000000,1,0.000000,379164.026737
12180,142.000000,1,0.000000,0.000000
12181,157.000000,0,-719.942405,-518317.065952
12183,103.000000,2,989.119683,845233.475811
