Time(ms),MotorCurrent,Position,Velocity,Acceleration
16107,211.00,0,-167.48,3266233.05
16119,2.00,2,167.41,28030.65
16131,139.00,5,251.40,7039.10
16143,162.00,3,-168.36,-35336.98
16158,58.00,4,66.10,15498.87
16170,178.00,16,1014.28,80143.85
16182,201.00,34,1516.94,42360.92
16193,10.00,51,1435.57,-6871.38
16205,227.00,80,2434.72,83885.14
16217,0.00,109,2437.38,223.59
16229,129.00,136,2268.53,-14187.37
16243,2.00,168,2287.18,1333.59
16255,86.00,196,2355.91,5782.60
16267,264.00,224,2355.51,-33.35
16279,113.00,255,2598.93,20406.81
16291,167.00,3,-21144.49,-1992231.43
16303,23.00,5,167.31,1782817.08
16315,241.00,0,-420.06,-49346.40
16326,13.00,0,0.00,35195.82
16342,86.00,3,199.15,13220.28
16353,154.00,5,167.66,-2639.92
16365,30.00,3,-167.76,-28134.18
16377,241.00,0,-251.55,-7026.17
16389,2.00,1,84.23,28283.61
16401,61.00,4,253.61,14319.23
16413,276.00,7,251.72,-158.91
16425,132.00,2,-419.53,-56322.67
16437,140.00,2,0.00,35181.00
16449,104.00,2,0.00,0.00
16460,202.00,1,-84.60,-7157.56
16472,156.00,15,1178.15,106265.76
16484,36.00,39,2023.44,71265.87
16496,270.00,61,1851.85,-14443.29
16508,1.00,82,1766.64,-7168.84
16520,41.00,104,1851.54,7145.63
16535,67.00,130,1724.37,-8434.38
16547,235.00,150,1681.66,-3590.78
16559,212.00,172,1846.88,13869.68
16571,127.00,194,1851.07,353.02
16583,42.00,216,1849.98,-91.62
16594,282.00,241,2099.96,20997.46
16608,33.00,271,2136.45,2598.62
16620,302.00,295,2017.65,-9986.83
16632,30.00,323,2346.83,27589.73
16644,161.00,40,-23567.62,-2158098.70
16657,2.00,161,9707.96,2669735.28
16669,127.00,193,2667.11,-586835.12
16681,73.00,222,2424.34,-20294.89
16693,215.00,250,2345.84,-6576.68
16705,2.00,279,2428.61,6930.98
16720,99.00,314,2308.55,-7918.51
16732,181.00,340,2181.03,-10697.91
16744,11.00,364,2016.64,-13812.94
16755,227.00,389,2096.44,6691.72
16767,2.00,414,2101.02,384.98
16779,154.00,442,2344.86,20420.85
16791,171.00,462,1682.79,-55706.25
16803,141.00,483,1764.11,6831.27
16815,202.00,511,2347.22,48881.56
16827,81.00,19,-41233.66,-3652437.01
16839,263.00,4,-1257.23,3350635.18
16851,117.00,4,0.00,105233.87
16863,180.00,7,252.67,21281.41
16875,6.00,18,922.90,56231.40
16887,227.00,47,2436.97,127233.49
16902,233.00,87,2664.00,15120.07
16913,205.00,114,2294.36,-31411.04
16925,64.00,142,2376.91,7007.85
16937,128.00,168,2213.90,-13880.58
16949,140.00,196,2374.69,13637.19
16960,269.00,223,2295.72,-6714.51
16974,25.00,2,-15892.42,-1307934.97
16986,186.00,1,-84.56,1336703.97
16998,174.00,3,169.87,21609.08
17010,144.00,1,-169.82,-28843.37
17022,110.00,-1,-169.35,40.18
17033,131.00,9,848.61,86384.61
17045,272.00,2,-594.73,-122628.77
17057,1.00,2,0.00,50405.32
17069,40.00,1,-85.11,-7244.33
17083,261.00,-1,-136.78,-3533.48
17095,186.00,1,170.88,26286.91
17107,69.00,12,934.10,64811.61
17118,144.00,0,-1020.41,-166199.95
17130,119.00,2,170.08,101240.81
17142,299.00,1,-84.96,-21669.01
17154,3.00,2,84.73,14378.34
17166,56.00,7,424.16,28794.43
17177,261.00,2,-424.41,-72028.89
17189,165.00,5,254.37,57552.89
17201,82.00,29,2037.87,151439.57
17213,190.00,51,1873.14,-14025.79
17224,78.00,71,1703.00,-14487.42
17236,330.00,93,1874.57,14619.69
17248,1.00,113,1703.72,-14554.16
17260,114.00,133,1703.14,-49.42
17270,363.00,152,1086.96,-812331.43
17282,177.00,174,1848.12,63941.68
17294,107.00,197,1933.42,7170.87
17306,94.00,222,2102.78,14245.19
17318,270.00,246,2016.13,-7279.49
17330,2.00,271,2100.13,7056.90
17344,198.00,303,2298.85,14275.59
17356,187.00,11,-24484.32,-2245779.85
17368,105.00,180,13457.56,3021331.18
17380,185.00,190,832.09,-1050546.82
17392,60.00,213,1930.18,92152.80
17404,262.00,240,2266.43,28225.78
17416,82.00,268,2347.81,6823.74
17428,161.00,295,2268.72,-6646.05
17443,200.00,331,2377.65,7194.58
17455,41.00,355,2020.88,-30041.06
17467,238.00,378,1932.61,-7417.17
17479,39.00,405,2265.10,27893.45
17491,167.00,431,2181.39,-7023.21
17503,136.00,453,1853.41,-27630.93
17514,169.00,482,2434.11,48740.91
17526,210.00,510,2346.63,-7331.56
17538,91.00,532,1846.88,-41953.81
17550,270.00,561,2431.46,49013.24
17562,100.00,591,2518.47,7304.46
17574,183.00,619,2347.61,-14324.99
17586,10.00,646,2268.15,-6675.86
17598,245.00,672,2182.67,-7175.30
17610,1.00,699,2271.01,7429.88
17625,65.00,734,2314.81,2897.35
17637,157.00,764,2519.95,17230.98
17649,41.00,794,2515.51,-372.07
17661,211.00,821,2269.48,-20680.22
17673,1.00,848,2266.62,-239.91
17684,98.00,878,2522.70,21534.01
17696,274.00,906,2352.74,-14281.23
17710,71.00,5,-64380.14,-4768337.21
