Time(ms),MotorCurrent,Position,Velocity,Acceleration
21288,116.000000,350,2084.272195,2915.269799
21290,1.000000,355,2498.750625,207135.647179
21292,239.000000,359,2098.635887,-209923.786996
21294,110.000000,364,2492.522433,196354.210383
21296,208.000000,368,1994.017946,-248506.723101
21298,88.000000,372,2000.000000,2991.026919
21300,120.000000,377,2639.915523,337864.584321
21302,24.000000,382,2469.135802,-84335.664313
21304,75.000000,388,3010.536879,271651.317917
21306,64.000000,394,3062.787136,26671.902612
21558,197.000000,4,-1547.545355,-18294.099056
21874,29.000000,1,-3864.447087,-299211.262289
21876,399.000000,2,512.557663,2243467.324212
21878,19.000000,2,0.000000,-253867.093976
21880,2.000000,4,1213.592233,736403.054011
21882,370.000000,2,-1055.408971,-1197362.112921
21884,63.000000,5,1494.023904,1269637.886135
21886,336.000000,1,-1975.308642,-1713250.640177
21888,77.000000,2,493.583416,1218604.174518
21890,267.000000,3,506.072874,6320.576365
21892,16.000000,1,-1021.450460,-780144.705897
21894,180.000000,0,-504.540868,260802.014048
21914,71.000000,2,-111.482720,-122160.865301
21916,162.000000,1,-498.256104,-192712.199033
21918,11.000000,3,1004.520342,754784.753980
21920,50.000000,0,-1509.813790,-1265392.114328
21922,101.000000,2,1013.684744,1279015.982604
21924,1.000000,3,492.853622,-256693.504963
21926,276.000000,2,-521.920668,-529631.675643
21928,167.000000,4,985.221675,742434.651692
21930,264.000000,0,-1987.083954,-1476555.205750
21932,161.000000,2,981.836033,1457496.312067
21934,243.000000,2,0.000000,-483901.445728
21953,111.000000,2,111.675694,70900.289518
21955,160.000000,0,-1012.145749,-568735.547962
21957,70.000000,2,989.609104,990477.413850
21959,54.000000,3,517.598344,-244311.987950
21961,79.000000,1,-1007.556675,-768340.059823
21963,2.000000,3,1005.025126,1011347.638538
21965,270.000000,4,520.833333,-252183.225154
21967,166.000000,1,-1515.917130,-1029181.638806
21969,244.000000,3,986.193294,1233782.260231
21971,156.000000,1,-986.193294,-972577.212905
21973,201.000000,1,0.000000,494580.388107
21990,203.000000,8,272.907143,-101076.538280
21992,110.000000,12,1998.001998,861685.741587
21994,174.000000,17,2478.929103,238436.839180
21996,72.000000,21,1994.017946,-241730.387072
21998,108.000000,1,-10040.160643,-6041254.311612
22000,39.000000,2,490.677134,5167241.303737
22002,30.000000,0,-1017.293998,-767024.991053
22004,161.000000,4,2062.919030,1588557.518511
22006,1.000000,9,2459.419577,195032.241295
22008,271.000000,1,-4168.837936,-3454016.421785
22010,169.000000,3,975.134081,2508031.212755
22030,184.000000,1,-55.822262,24477.677308
22031,173.000000,0,-518.672199,-240067.394840
22034,261.000000,0,0.000000,258818.462660
22035,13.000000,0,0.000000,0.000000
22037,34.000000,0,0.000000,0.000000
22038,41.000000,0,0.000000,0.000000
22039,38.000000,0,0.000000,0.000000
22041,31.000000,-1,-733.137830,-537491.077648
22043,3.000000,-4,-1526.717557,-403857.367603
22045,252.000000,-1,1556.824079,1600177.289118
22047,189.000000,-2,-495.785821,-1017654.883195
22049,298.000000,-1,493.096647,487614.628929
22068,173.000000,2,224.820144,40908.175165
22070,247.000000,3,505.561173,141931.763912
22072,132.000000,7,2021.222840,765872.494652
22074,212.000000,13,2986.560478,480506.539588
22076,96.000000,2,-5516.549649,-4264348.107721
22078,175.000000,1,-493.339911,2478149.845954
22080,48.000000,2,504.032258,502707.746605
22082,72.000000,0,-1019.367992,-776452.726763
22084,73.000000,2,999.000999,1008176.319104
22086,5.000000,3,503.018109,-249488.375427
22088,302.000000,2,-524.383849,-538752.992989
22108,0.000000,20,950.145316,24976.193446
22110,219.000000,23,1745.200698,462510.402407
22112,89.000000,28,2452.182442,346729.644087
22114,197.000000,31,1495.513460,-476903.780036
22116,56.000000,35,1975.308642,236935.892521
22118,132.000000,38,1506.024096,-235584.611240
22120,23.000000,41,1493.280239,-6343.383505
22122,23.000000,45,2047.082907,283419.993824
22124,148.000000,49,2002.002002,-22563.015443
22126,2.000000,53,1999.000500,-1500.001125
22128,270.000000,57,2148.227712,80143.508264
22147,77.000000,94,1866.515837,-8290.114012
22149,181.000000,97,1531.393568,-171068.029075
22151,3.000000,101,1996.007984,231843.520901
22153,4.000000,104,1587.301587,-216246.770757
22155,321.000000,107,1567.398119,-10398.886196
22157,145.000000,111,1987.083954,208487.747230
22159,295.000000,115,2020.202020,16726.295912
22161,101.000000,119,2024.291498,2069.573772
22163,234.000000,122,1529.051988,-252415.652502
22165,38.000000,126,1995.012469,232399.242424
22167,204.000000,129,1501.501502,-247002.486149
22189,243.000000,171,1875.524406,-6391.003644
22191,118.000000,175,2026.342452,76402.251965
22193,350.000000,179,1998.001998,-14156.070865
22195,82.000000,182,1551.189245,-231030.378963
22197,276.000000,186,2002.002002,225632.010468
22199,37.000000,189,1506.024096,-248984.892378
22201,225.000000,193,2015.113350,256468.137904
22203,55.000000,195,1019.367992,-507515.473130
22205,42.000000,198,1541.623844,268374.024634
22207,233.000000,201,1516.683519,-12608.859998
22230,1.000000,239,1656.032341,-17144.795050
22231,344.000000,242,1583.113456,-38479.622624
22234,97.000000,245,1486.620416,-47816.174535
22235,294.000000,248,1515.151515,14409.645908
22238,67.000000,253,2475.247525,475295.054258
22239,263.000000,255,1006.542526,-739157.019794
22242,34.000000,258,1478.560867,232635.949236
22244,229.000000,261,1485.884101,3627.158800
22246,38.000000,264,1523.616049,19163.000363
22247,138.000000,269,2513.826043,497843.134481
22250,93.000000,272,1480.019734,-510017.912995
22269,132.000000,305,1680.483979,8916.973165
22271,132.000000,308,1517.450683,-82464.995717
22273,3.000000,312,2006.018054,245018.741880
22275,338.000000,315,1580.611170,-224134.291101
22277,108.000000,319,1977.261493,196070.352536
22279,340.000000,322,1507.537688,-236042.112759
22281,92.000000,326,1978.239367,232790.147637
22283,285.000000,329,1508.295626,-236271.363007
22285,37.000000,333,2031.488065,265714.798916
22287,222.000000,338,2513.826043,242502.754264
22307,51.000000,378,2017.597938,1377.208038
22309,167.000000,383,2569.373073,283543.235048
22311,14.000000,387,1970.443350,-295039.272520
22313,100.000000,391,1993.024415,11251.153361
22315,172.000000,395,2079.002079,44686.935786
22317,2.000000,398,1491.795127,-291997.489905
22319,300.000000,402,2075.765439,303046.347537
22321,114.000000,406,2062.919030,-6625.274924
22323,233.000000,411,2520.161290,230464.848737
22325,81.000000,416,2478.929103,-20442.334008
22327,202.000000,421,2518.891688,20132.284650
22347,106.000000,14,-22999.440403,-1399750.368984
22349,230.000000,28,6717.850288,14259736.415939
22351,161.000000,52,11230.697239,2111767.408148
22353,252.000000,88,16371.077763,2337599.146657
22355,69.000000,139,22616.407982,2769547.769243
22358,70.000000,184,20756.457565,-857910.709265
22360,139.000000,207,11459.890384,-4632071.340767
22362,64.000000,198,-4314.477469,-7562017.187199
22364,127.000000,189,-4497.751124,-91591.032283
22366,11.000000,191,1004.520342,2763571.806115
22385,145.000000,243,2404.787204,-116047.956629
22387,37.000000,248,2529.084471,62871.657626
22389,43.000000,254,3027.245207,251342.449768
22391,57.000000,2,-125186.289121,-63692764.196511
22394,23.000000,0,-967.117988,60067297.452766
22396,45.000000,1,489.955904,713901.956082
22397,196.000000,5,2092.050209,837915.431609
22400,220.000000,3,-980.872977,-1507073.656770
22402,181.000000,8,2515.090543,1758532.957852
22404,242.000000,2,-2949.852507,-2686795.993429
22406,135.000000,6,1951.219512,2390766.838815
22426,129.000000,1,0.000000,137442.323703
22427,96.000000,5,2332.361516,1359977.560370
22429,148.000000,10,2471.576866,68816.287694
22431,84.000000,2,-3938.946332,-3156338.354454
22433,123.000000,6,1993.024415,2955640.630994
22435,56.000000,10,1968.503937,-12067.164144
22437,77.000000,0,-5035.246727,-3526561.260875
22439,12.000000,1,497.512438,2752616.499951
22441,5.000000,6,2512.562814,1012588.128774
22443,123.000000,11,2582.644628,36199.284106
22445,160.000000,17,2974.714923,194382.892937
22465,234.000000,0,-1242.797424,-209621.201108
22467,152.000000,4,1980.198020,1595542.298922
22469,206.000000,2,-980.392157,-1451269.694443
22471,139.000000,7,2481.389578,1718005.823835
22473,136.000000,6,-453.720508,-1331719.639896
22475,158.000000,10,1993.024415,1219105.591787
22477,207.000000,14,1986.097319,-3439.471589
22479,141.000000,1,-6585.612969,-4342305.110112
22481,187.000000,3,984.736583,3727400.074621
22483,124.000000,8,2496.255617,754627.575442
22485,170.000000,14,2955.665025,226310.053229
22505,28.000000,6,-796.994193,-218756.659030
22507,8.000000,3,-1509.813790,-358741.618674
22509,142.000000,8,2613.695766,2155519.893071
22511,1.000000,13,2442.598925,-83584.191772
22513,188.000000,0,-6845.708268,-4891157.026206
22515,133.000000,4,1968.503937,4337702.856554
22517,176.000000,7,1489.572989,-237800.867890
22519,127.000000,2,-2459.419577,-1942445.925261
22521,168.000000,3,495.540139,1464301.147538
22523,105.000000,3,0.000000,-245803.640254
22525,1.000000,4,588.581519,346428.203967
22544,201.000000,6,56.439779,-26566.675125
22546,136.000000,11,2513.826043,1235488.317990
22548,188.000000,1,-4887.585533,-3617503.214069
22550,131.000000,3,979.911808,2874814.963588
22552,175.000000,0,-1488.095238,-1224209.844262
22554,110.000000,5,2501.250625,1995670.767087
22556,148.000000,3,-989.609104,-1727293.285362
22558,93.000000,7,1980.198020,1470201.546637
22560,109.000000,0,-3519.356461,-2764984.655774
22562,65.000000,6,2951.303492,3182813.552833
22564,52.000000,11,2539.360081,-209214.530785
22584,43.000000,5,-616.591928,-175330.312898
22586,50.000000,3,-1005.025126,-195192.561496
22588,83.000000,1,-1034.126163,-15047.072267
22590,161.000000,4,1523.616049,1299005.694336
22592,202.000000,5,495.294700,-509322.114120
22594,150.000000,10,2517.623364,1018292.378247
22596,195.000000,15,2523.977789,3207.685740
22598,102.000000,19,2071.465562,-234340.873698
22600,141.000000,24,2501.250625,215000.031730
22602,77.000000,28,1999.000500,-250999.563000
22604,91.000000,1,-13574.660633,-7829894.989057
22624,98.000000,2,-223.651104,-149478.927823
22626,122.000000,3,505.305710,368346.040542
22628,39.000000,8,2520.161290,1015552.207847
22630,31.000000,1,-3544.303797,-3070615.234325
22632,36.000000,2,498.256104,2014230.145045
22634,0.000000,3,505.050505,3431.515865
22635,159.000000,4,586.510264,47776.984680
22637,81.000000,2,-1013.684744,-811046.633540
22639,102.000000,6,2004.008016,1511870.120279
22641,32.000000,10,1999.000500,-2502.506888
22643,1.000000,3,-3626.943005,-2914996.634680
22663,23.000000,1,-390.821283,-166611.706709
22665,1.000000,6,2515.090543,1461726.270760
22667,205.000000,1,-2590.673575,-2645473.636471
22669,161.000000,5,1952.171791,2217103.643849
22671,186.000000,10,2434.274586,234714.116385
22673,158.000000,4,-2948.402948,-2645050.385541
22675,208.000000,9,2452.182442,2648644.134761
22677,1.000000,14,2294.630564,-72304.670902
22679,208.000000,19,2644.103649,184808.611520
22681,140.000000,23,2008.032129,-319313.012223
22683,187.000000,1,-10874.938211,-6368250.291197
22703,159.000000,2,-55.900274,-57714.951865
22705,199.000000,7,2558.853634,1338154.507412
22707,142.000000,11,1962.708538,-292514.767316
22709,196.000000,4,-3434.739941,-2648404.552944
22711,143.000000,8,1946.472019,2618594.628021
22713,201.000000,12,1954.079140,3716.228989
22715,122.000000,17,2523.977789,287682.306305
22717,173.000000,22,2464.268112,-29428.130421
22719,114.000000,26,1983.143282,-238534.868750
22722,167.000000,31,2443.792766,225146.375499
22724,101.000000,35,1964.636542,-235341.956844
22743,189.000000,-1,-112.183083,940635.187724
22745,100.000000,-2,-504.795558,-198189.033321
22747,112.000000,-4,-1047.668937,-284375.787751
22749,34.000000,-7,-1493.280239,-221807.517326
22751,59.000000,-10,-1500.000000,-3359.880538
22753,150.000000,-13,-1598.295152,-52368.221544
22755,147.000000,-1,6188.757091,4016014.565819
22757,207.000000,0,493.583416,-2811043.275265
22759,127.000000,-1,-499.500500,-496045.911637
22761,168.000000,-1,0.000000,253553.553046
22763,88.000000,-1,0.000000,0.000000
22781,26.000000,25,1516.654028,88470.747704
22783,98.000000,30,2558.853634,533367.249585
22785,2.000000,3,-13554.216867,-8088890.813776
22787,218.000000,5,1016.260163,7403697.677882
22789,135.000000,10,2476.473502,723235.928248
22791,197.000000,15,2482.621648,3052.704433
22793,117.000000,19,2013.085053,-236304.275600
22795,178.000000,3,-7960.199005,-4961832.864586
22797,100.000000,8,2450.980392,5103519.312320
22799,148.000000,0,-4050.632911,-3291956.103063
22801,74.000000,5,2443.792766,3174206.098615
22821,108.000000,0,-565.291125,-172785.282256
22823,7.000000,3,1507.537688,1041622.519282
22825,2.000000,6,1552.795031,23425.125576
22827,230.000000,10,2096.436059,284927.163336
22829,128.000000,3,-3473.945409,-2764457.304283
22831,221.000000,7,1980.198020,2700071.004570
22833,114.000000,12,2478.929103,247263.799120
22835,224.000000,16,1978.239367,-247621.036431
22837,100.000000,20,1994.017946,7865.692521
22839,155.000000,23,1560.062402,-225665.909342
22841,33.000000,26,1523.616049,-18510.083159
22861,67.000000,64,1918.194640,-5582.572550
22862,110.000000,68,2047.082907,65961.241822
22864,2.000000,72,2030.456853,-8439.621353
22866,230.000000,76,2133.333333,54867.456289
22868,96.000000,80,1987.083954,-72652.448602
22870,195.000000,83,1512.859304,-239145.058100
22872,60.000000,87,2018.163471,254946.603005
22874,140.000000,90,1545.595054,-243466.469421
22876,28.000000,94,1974.333662,211618.266680
22878,106.000000,98,1989.060169,7322.976967
22880,108.000000,102,2019.182231,15205.483153
22900,2.000000,140,1915.492958,-4873.748972
22902,309.000000,143,1594.896332,-170439.460929
22904,128.000000,147,1980.198020,190743.409932
22906,310.000000,150,1491.053678,-243113.489995
22908,89.000000,154,2002.002002,255729.891927
22910,251.000000,157,1526.717557,-241875.035496
22912,43.000000,160,1480.019734,-23037.900175
22914,210.000000,164,2030.456853,279409.705175
22916,27.000000,168,2008.032129,-11257.391706
22918,71.000000,172,2047.082907,19985.045212
22920,219.000000,176,2039.775625,-3726.304017
22940,3.000000,210,1735.819475,11490.409870
22941,368.000000,212,1066.098081,-356994.346349
22944,97.000000,215,1479.289941,203743.520614
22946,313.000000,218,1502.253380,11498.968073
22948,70.000000,221,1499.250375,-1500.752253
22949,241.000000,224,1591.511936,48945.125478
22951,8.000000,228,1983.143282,194165.268102
22953,102.000000,231,1556.016598,-221538.736821
22955,150.000000,235,1986.097319,213545.541836
22957,1.000000,238,1533.742331,-231265.331023
22959,339.000000,242,2096.436059,294912.855038
22979,102.000000,275,1686.719892,10116.911039
22981,303.000000,279,2003.004507,158379.877171
22983,64.000000,282,1505.268440,-249742.131070
22985,253.000000,286,2014.098691,256208.585749
22987,21.000000,288,1000.500250,-507052.746729
22989,180.000000,292,2035.623410,526780.233865
22991,97.000000,295,1534.526854,-256315.373631
22993,73.000000,299,1983.143282,222417.663799
22995,166.000000,303,1990.049751,3436.054299
22997,1.000000,306,1508.295626,-242209.213324
23019,142.000000,352,2029.671870,-3652.988362
23021,0.000000,355,1506.780512,-262627.502466
23023,275.000000,359,2271.436684,434217.019533
23025,45.000000,363,2047.082907,-114817.695417
23027,136.000000,367,2075.765439,14884.551971
23029,103.000000,372,2523.977789,226255.603478
23031,38.000000,377,2482.621648,-20534.329958
23033,171.000000,382,2507.522568,12487.923391
23035,1.000000,386,1990.049751,-257449.162418
23037,301.000000,390,2089.864159,52149.638237
23039,124.000000,394,1996.007984,-46834.418562
23062,7.000000,447,2392.802450,42833.512648
23064,1.000000,452,2626.050420,122504.185892
23066,288.000000,1,-233678.756477,-122437723.780752
23068,163.000000,12,5583.756345,121453052.193838
23070,230.000000,22,5178.663905,-209783.759951
23072,115.000000,30,3958.436418,-603774.115338
23074,208.000000,37,3438.113949,-255561.133937
23076,112.000000,48,5397.448479,961400.652591
23078,210.000000,70,10576.923077,2490132.018280
23080,158.000000,108,17608.897127,3258560.727547
23100,22.000000,215,3228.859322,-1056799.496936
23102,61.000000,220,2482.621648,-370525.160615
23104,32.000000,227,3455.083909,479991.244186
23106,2.000000,230,1509.813790,-978998.550351
23108,276.000000,234,2090.956613,303786.107171
23110,197.000000,239,2476.473502,190944.472057
23112,291.000000,243,1969.473166,-249630.889121
23114,182.000000,249,2985.074627,505274.358675
23116,272.000000,252,1489.572989,-742552.948257
23118,164.000000,254,996.015936,-245795.345031
23138,241.000000,1,-112.189376,7016034.276282
23140,159.000000,2,498.007968,303883.139339
23142,215.000000,7,2506.265664,1006645.461671
23144,135.000000,11,1972.386588,-263253.982440
23146,188.000000,2,-4486.540379,-3219804.071104
23148,112.000000,1,-492.610837,1967452.976071
23150,153.000000,4,1485.884101,979938.057691
23152,83.000000,9,2481.389578,494047.383188
23154,112.000000,16,3487.792725,501446.510861
