Time (ms), Position
14953, 1712
14953, 3615
14953, 3615
14953, 3615
14954, 3615
14954, 3615
14954, 3615
14954, 3615
14956, 3621
14958, 3626
14960, 3630
14962, 3635
14964, 3640
14966, 3644
14968, 3649
14970, 3655
14972, 3660
14974, 3665
14976, 3671
14978, 3677
14980, 3684
14982, 3690
14984, 3695
14986, 3700
14988, 3706
14990, 3710
14992, 3715
14994, 3720
14996, 3725
14998, 3729
15000, 3735
15002, 3741
15004, 3747
15006, 3753
15008, 3759
15010, 3766
15012, 3773
15014, 3779
15016, 3784
15018, 3791
15020, 3797
15022, 3801
15024, 3806
15026, 3812
15028, 3817
15030, 3823
15032, 3830
15034, 3837
15036, 3843
15038, 3849
15040, 3855
15042, 3862
15044, 3868
15046, 3873
15048, 3878
15050, 3884
15052, 3889
15054, 3893
15056, 3898
15058, 3902
15060, 3907
15062, 3913
15064, 3919
15066, 3924
15068, 3929
15070, 3936
15072, 3942
15074, 3948
15076, 3953
15078, 3958
15080, 3964
15082, 3969
15084, 3974
15086, 3980
15088, 3984
15090, 3990
15092, 3996
15094, 4001
15096, 4007
15098, 4013
15100, 4019
15102, 4027
15104, 4033
15106, 4039
15108, 4044
15110, 4051
15112, 4056
15114, 4062
15116, 4067
15118, 4072
15120, 4077
15122, 4084
15124, 4090
15126, 4095
15128, 6
15130, 12
15132, 19
15134, 25
15136, 30
15138, 36
15140, 42
15142, 47
15144, 52
15146, 58
15148, 63
15150, 68
15152, 73
15154, 79
15156, 84
15158, 90
15160, 97
15162, 103
15164, 109
15166, 114
15168, 120
15170, 125
15172, 131
15174, 137
15176, 142
15178, 146
15180, 152
15182, 158
15184, 163
15186, 169
15188, 175
15190, 181
15192, 187
15194, 193
15196, 198
15198, 204
15200, 209
15202, 215
15204, 221
15206, 226
15208, 230
15210, 236
15212, 242
15214, 247
15216, 253
15218, 258
15220, 264
15222, 271
15224, 277
15226, 283
15228, 289
15230, 295
15232, 302
15234, 307
15236, 312
15238, 318
15240, 324
15242, 329
15244, 335
15246, 341
15248, 346
15250, 352
15252, 358
15254, 364
15256, 370
15258, 376
15260, 383
15262, 389
15264, 394
15266, 399
15268, 405
15270, 411
15272, 416
15274, 422
15276, 428
15278, 434
15280, 440
15282, 446
15284, 452
15286, 459
15288, 466
15290, 473
15292, 478
15294, 484
15296, 490
15298, 496
15300, 502
15302, 507
15304, 513
15306, 519
15308, 526
15310, 531
15312, 538
15314, 544
15316, 550
15318, 557
15320, 564
15322, 569
15324, 574
15326, 580
15328, 585
15330, 591
15332, 596
15334, 602
15336, 607
15338, 612
15340, 619
15342, 626
15344, 632
