Time (ms), Position (count), Velocity (count/s)
18345, 151, 0.00
18345, 151, nan
18345, 151, -0.00
18345, 151, 4.12
18345, 151, 0.00
18345, 151, 0.00
18345, 151, 0.00
18345, 151, 0.00
18345, 151, 0.00
18345, 151, 0.00
18345, 151, 0.00
18345, 151, 0.00
18345, 151, 0.00
18345, 151, 0.00
18346, 151, 0.00
18348, 151, 0.00
18350, 151, 0.00
18352, 151, 0.00
18354, 151, 0.00
18356, 151, 0.00
18358, 151, 0.00
18360, 151, 0.00
18362, 151, 0.00
18364, 151, 0.00
18366, 151, 0.00
18368, 151, 0.00
18370, 151, 0.00
18372, 151, 0.00
18374, 151, 0.00
18376, 151, 0.00
18378, 151, 0.00
18380, 151, 0.00
18382, 151, 0.00
18384, 151, 0.00
18386, 151, 0.00
18388, 151, 0.00
18390, 151, 0.00
18392, 151, 0.00
18394, 151, 0.00
18396, 151, 0.00
18398, 151, 0.00
18400, 151, 0.00
18402, 151, 0.00
18404, 151, 0.00
18406, 151, 0.00
18408, 151, 0.00
18410, 151, 0.00
18412, 151, 0.00
18414, 151, 0.00
18416, 151, 0.00
18418, 151, 0.00
18420, 151, 0.00
18422, 151, 0.00
18424, 151, 0.00
18426, 151, 0.00
18428, 151, 0.00
18430, 151, 0.00
18432, 151, 0.00
18434, 151, 0.00
18436, 151, 0.00
18438, 151, 0.00
18440, 151, 0.00
18442, 151, 0.00
18444, 151, 0.00
18446, 151, 0.00
18448, 151, 0.00
18450, 151, 0.00
18452, 151, 0.00
18454, 151, 0.00
18456, 151, 0.00
18458, 151, 0.00
18460, 151, 0.00
18462, 151, 0.00
18464, 151, 0.00
18466, 151, 0.00
18468, 151, 0.00
18470, 151, 0.00
18472, 151, 0.00
18474, 151, 0.00
18476, 151, 0.00
18478, 151, 0.00
18480, 151, 0.00
18482, 151, 0.00
18484, 151, 0.00
18486, 151, 0.00
18488, 151, 0.00
18490, 151, 0.00
18492, 151, 0.00
18494, 151, 0.00
18496, 151, 0.00
18498, 151, 0.00
18500, 151, 0.00
18502, 151, 0.00
18504, 151, 0.00
18506, 151, 0.00
18508, 151, 0.00
18510, 151, 0.00
18512, 151, 0.00
18514, 151, 0.00
18516, 151, 0.00
18518, 151, 0.00
18520, 151, 0.00
18522, 151, 0.00
18524, 151, 0.00
18526, 151, 0.00
18528, 151, 0.00
18530, 151, 0.00
18532, 151, 0.00
18534, 151, 0.00
18536, 151, 0.00
18538, 151, 0.00
18540, 151, 0.00
18542, 151, 0.00
18544, 151, 0.00
18546, 151, 0.00
18548, 151, 0.00
18550, 151, 0.00
18552, 151, 0.00
18554, 151, 0.00
18556, 151, 0.00
18558, 151, 0.00
18560, 151, 0.00
18562, 151, 0.00
18564, 151, 0.00
18566, 151, 0.00
18568, 151, 0.00
18570, 151, 0.00
18572, 151, 0.00
18574, 151, 0.00
18576, 151, 0.00
18578, 151, 0.00
18580, 151, 0.00
18582, 151, 0.00
18584, 151, 0.00
18586, 151, 0.00
18588, 151, 0.00
18590, 151, 0.00
18592, 151, 0.00
18594, 151, 0.00
18596, 151, 0.00
18598, 151, 0.00
18600, 151, 0.00
18602, 151, 0.00
18604, 151, 0.00
18606, 151, 0.00
18608, 151, 0.00
18610, 151, 0.00
18612, 151, 0.00
18614, 151, 0.00
18616, 151, 0.00
18618, 151, 0.00
18620, 151, 0.00
18622, 151, 0.00
18624, 151, 0.00
18626, 151, 0.00
18628, 151, 0.00
18630, 151, 0.00
18632, 151, 0.00
18634, 151, 0.00
18636, 151, 0.00
18638, 151, 0.00
18640, 151, 0.00
18642, 151, 0.00
18644, 151, 0.00
18646, 151, 0.00
18648, 151, 0.00
18650, 151, 0.00
18652, 151, 0.00
18654, 151, 0.00
18656, 151, 0.00
18658, 151, 0.00
18660, 151, 0.00
18662, 151, 0.00
18664, 151, 0.00
18666, 151, 0.00
18668, 151, 0.00
18670, 151, 0.00
18672, 151, 0.00
18674, 151, 0.00
18676, 151, 0.00
18678, 151, 0.00
18680, 151, 0.00
18682, 151, 0.00
18684, 151, 0.00
18686, 151, 0.00
18688, 151, 0.00
18690, 151, 0.00
18692, 151, 0.00
18694, 151, 0.00
18696, 151, 0.00
18698, 151, 0.00
18700, 151, 0.00
18702, 151, 0.00
18704, 151, 0.00
18706, 151, 0.00
18708, 151, 0.00
18710, 151, 0.00
18712, 151, 0.00
18714, 151, 0.00
18716, 151, 0.00
18718, 151, 0.00
18720, 151, 0.00
18722, 151, 0.00
18724, 151, 0.00
18726, 151, 0.00
18728, 151, 0.00
18730, 151, 0.00
18732, 151, 0.00
18734, 151, 0.00
18736, 151, 0.00
18738, 151, 0.00
18740, 151, 0.00
18742, 151, 0.00
18744, 151, 0.00
18746, 151, 0.00
18748, 151, 0.00
18750, 151, 0.00
18752, 151, 0.00
18754, 151, 0.00
18756, 151, 0.00
18758, 151, 0.00
18760, 151, 0.00
18762, 151, 0.00
18764, 151, 0.00
18766, 151, 0.00
18768, 151, 0.00
18770, 151, 0.00
18772, 151, 0.00
18774, 151, 0.00
18776, 151, 0.00
18778, 151, 0.00
18780, 151, 0.00
18782, 151, 0.00
18784, 151, 0.00
18786, 151, 0.00
18788, 151, 0.00
18790, 151, 0.00
18792, 151, 0.00
18794, 151, 0.00
18796, 151, 0.00
18798, 151, 0.00
18800, 151, 0.00
18802, 151, 0.00
18804, 151, 0.00
18806, 151, 0.00
18808, 151, 0.00
18810, 151, 0.00
18812, 151, 0.00
18814, 151, 0.00
18816, 151, 0.00
18818, 151, 0.00
18820, 151, 0.00
18822, 151, 0.00
18824, 151, 0.00
18826, 151, 0.00
18828, 151, 0.00
18830, 151, 0.00
18832, 151, 0.00
18834, 151, 0.00
18836, 151, 0.00
18838, 151, 0.00
18840, 151, 0.00
18842, 151, 0.00
18844, 151, 0.00
18846, 151, 0.00
18848, 151, 0.00
18850, 151, 0.00
18852, 151, 0.00
18854, 151, 0.00
18856, 151, 0.00
18858, 151, 0.00
18860, 151, 0.00
18862, 151, 0.00
18864, 151, 0.00
18866, 151, 0.00
18868, 151, 0.00
18870, 151, 0.00
18872, 151, 0.00
18874, 151, 0.00
18876, 151, 0.00
18878, 151, 0.00
18880, 151, 0.00
18882, 151, 0.00
18884, 151, 0.00
18886, 151, 0.00
18888, 151, 0.00
18890, 151, 0.00
18892, 151, 0.00
18894, 151, 0.00
18896, 151, 0.00
18898, 151, 0.00
18900, 151, 0.00
18902, 151, 0.00
18904, 151, 0.00
18906, 151, 0.00
18908, 151, 0.00
18910, 151, 0.00
18912, 151, 0.00
18914, 151, 0.00
18916, 151, 0.00
18918, 151, 0.00
18920, 151, 0.00
18922, 151, 0.00
18924, 151, 0.00
18926, 151, 0.00
18928, 151, 0.00
18930, 151, 0.00
18932, 151, 0.00
18934, 151, 0.00
18936, 151, 0.00
18938, 151, 0.00
18940, 151, 0.00
18942, 151, 0.00
18944, 151, 0.00
18946, 151, 0.00
18948, 151, 0.00
18950, 151, 0.00
18952, 151, 0.00
18954, 151, 0.00
18956, 151, 0.00
18958, 151, 0.00
18960, 151, 0.00
18962, 151, 0.00
18964, 151, 0.00
18966, 151, 0.00
18968, 151, 0.00
18970, 151, 0.00
18972, 151, 0.00
18974, 151, 0.00
18976, 151, 0.00
18978, 151, 0.00
18980, 151, 0.00
18982, 151, 0.00
18984, 151, 0.00
18986, 151, 0.00
18988, 151, 0.00
18990, 151, 0.00
18992, 151, 0.00
18994, 151, 0.00
18996, 151, 0.00
18998, 151, 0.00
19000, 151, 0.00
19002, 151, 0.00
19004, 151, 0.00
19006, 151, 0.00
19008, 151, 0.00
19010, 151, 0.00
19012, 151, 0.00
19014, 151, 0.00
19016, 151, 0.00
19018, 151, 0.00
19020, 151, 0.00
19022, 151, 0.00
19024, 151, 0.00
19026, 151, 0.00
19028, 151, 0.00
19030, 151, 0.00
19032, 151, 0.00
19034, 151, 0.00
19036, 151, 0.00
19038, 151, 0.00
19040, 151, 0.00
19042, 151, 0.00
19044, 151, 0.00
19046, 151, 0.00
19048, 151, 0.00
19050, 151, 0.00
19052, 151, 0.00
19054, 151, 0.00
19056, 151, 0.00
19058, 151, 0.00
19060, 151, 0.00
19062, 151, 0.00
19064, 151, 0.00
19066, 151, 0.00
19068, 151, 0.00
19070, 151, 0.00
19072, 151, 0.00
19074, 151, 0.00
