Time (ms), Position (count), Velocity (count/s), Acceleration (count/s2), Desired Vel, Desired Acc, control signal, motorCurrent (raw)
57987, 1318, 2916.67, 125000.00, 2048, 0, -1737, 0.00
57990, 1335, 5000.00, 243055.56, 2048, 0, -5904, 505.00
57996, 1356, 5083.33, 409722.25, 2048, 0, -6070, 521.00
58002, 1362, 4458.33, 295138.91, 2048, 0, -4820, 509.00
58005, 1362, 2541.67, 151041.67, 2048, 0, -987, 492.00
58008, 1362, 1125.00, -182291.69, 2048, 0, 1846, 0.00
58011, 1362, 250.00, -303819.47, 2048, 0, 3596, 510.00
58014, 1362, 0.00, -350694.44, 2048, 0, 4096, 510.00
58017, 1362, 0.00, -211805.53, 2048, 0, 4096, 504.00
58020, 1362, 0.00, -93750.00, 2048, 0, 4096, 467.00
58023, 1362, 0.00, -20833.33, 2048, 0, 4096, 443.00
58029, 1374, 0.00, 0.00, 2048, 0, 4096, 345.00
58032, 1401, 500.00, 0.00, 2048, 0, 3096, 292.00
58035, 1419, 2750.00, 41666.67, 2048, 0, -1404, 0.00
58038, 1436, 4250.00, 229166.67, 2048, 0, -4404, 506.00
58041, 1451, 5166.67, 354166.69, 2048, 0, -6237, 523.00
58044, 1462, 4166.67, 388888.88, 2048, 0, -4237, 506.00
58047, 1469, 3583.33, 118055.54, 2048, 0, -3070, 510.00
58050, 1470, 2750.00, -55555.57, 2048, 0, -1404, 514.00
58056, 1470, 1583.33, -201388.88, 2048, 0, 929, 1.00
58059, 1470, 666.67, -166666.66, 2048, 0, 2762, 509.00
58062, 1470, 83.33, -194444.44, 2048, 0, 3929, 493.00
58065, 1470, 0.00, -173611.13, 2048, 0, 4096, 504.00
58068, 1470, 0.00, -131944.45, 2048, 0, 4096, 474.00
58071, 1470, 0.00, -55555.55, 2048, 0, 4096, 455.00
58074, 1474, 0.00, -6944.44, 2048, 0, 4096, 384.00
58077, 1492, 333.33, 0.00, 2048, 0, 3429, 352.00
58080, 1506, 1833.33, 27777.78, 2048, 0, 429, 289.00
58083, 1524, 3000.00, 152777.78, 2048, 0, -1904, 0.00
58089, 1561, 4166.67, 250000.00, 2048, 0, -4237, 523.00
58092, 1572, 4208.33, 270833.31, 2048, 0, -4320, 518.00
58095, 1578, 3958.33, 149305.53, 2048, 0, -3820, 488.00
58098, 1578, 2958.33, 31250.00, 2048, 0, -1820, 485.00
58101, 1578, 1416.67, -100694.44, 2048, 0, 1262, 1.00
58104, 1579, 500.00, -232638.86, 2048, 0, 3096, 506.00
58107, 1840, 83.33, -288194.44, 2048, 0, 3929, 500.00
58110, 1578, 21833.33, -239583.33, 2048, 0, -39570, 1.00
58113, 1579, 0.00, 1701388.87, 2048, 0, 4096, 134.00
58116, 2816, -0.00, -41666.75, 2048, 0, 4096, 495.00
58119, 1589, 81333.34, -6944.55, 2048, 0, -158570, 216.00
58122, 768, 916.67, 4958333.50, 2048, 0, 2262, 0.00
58125, 1600, -67583.33, 76389.50, 2048, 0, 139262, 466.00
58128, 1611, -101333.32, -5631944.00, 2048, 0, 206762, 425.00
58131, 1624, 1833.34, -15222221.00, 2048, 0, 429, 379.00
58134, 1641, 71333.34, 76388.00, 2048, 0, -138570, 0.00
58137, 1657, 3416.67, 11576388.00, 2048, 0, -2737, 486.00
58143, 1671, 3833.33, 8729166.00, 2048, 0, -3570, 516.00
58146, 1673, 3333.33, 149305.13, 2048, 0, -2570, 512.00
58149, 1673, 2083.33, -5684028.00, 2048, 0, -70, 497.00
58152, 1672, 750.00, -128472.21, 2048, 0, 2596, 53.00
58155, 1672, 83.33, -256944.47, 2048, 0, 3929, 302.00
58158, 1672, -83.33, -270833.34, 2048, 0, 4262, 218.00
58161, 1672, -83.33, -180555.58, 2048, 0, 4262, 226.00
58164, 1672, 0.00, -69444.45, 2048, 0, 4096, 177.00
58167, 1673, 0.00, -6944.44, 2048, 0, 4096, 155.00
58170, 1672, 83.33, 6944.44, 2048, 0, 3929, 147.00
58173, 1672, 0.00, 13888.89, 2048, 0, 4096, 79.00
58176, 1672, 0.00, 0.00, 2048, 0, 4096, 135.00
58179, 1673, -83.33, 0.00, 2048, 0, 4262, 74.00
58182, 1677, 83.33, -13888.89, 2048, 0, 3929, 141.00
58185, 1682, 416.67, 6944.44, 2048, 0, 3262, 68.00
58188, 1688, 833.33, 34722.22, 2048, 0, 2429, 123.00
58191, 1694, 1250.00, 76388.89, 2048, 0, 1596, 67.00
58194, 1702, 1416.67, 97222.22, 2048, 0, 1262, 74.00
58197, 1711, 1666.67, 83333.32, 2048, 0, 762, 70.00
58200, 1719, 1916.67, 69444.45, 2048, 0, 262, 22.00
58203, 1728, 2083.33, 55555.56, 2048, 0, -70, 84.00
58206, 1736, 2166.67, 55555.57, 2048, 0, -237, 253.00
58209, 1739, 2083.33, 41666.67, 2048, 0, -70, 511.00
58212, 1740, 1666.67, 13888.89, 2048, 0, 762, 148.00
58215, 1740, 1000.00, -34722.23, 2048, 0, 2096, 226.00
58218, 1740, 333.33, -97222.23, 2048, 0, 3429, 162.00
58221, 1741, 83.33, -145833.34, 2048, 0, 3929, 171.00
58224, 1743, 83.33, -131944.44, 2048, 0, 3929, 145.00
58227, 1747, 250.00, -76388.88, 2048, 0, 3596, 94.00
58230, 1751, 583.33, -6944.45, 2048, 0, 2929, 135.00
58233, 1755, 833.33, 41666.67, 2048, 0, 2429, 72.00
58236, 1761, 1000.00, 62500.00, 2048, 0, 2096, 125.00
58239, 1766, 1166.67, 62500.00, 2048, 0, 1762, 61.00
58242, 1772, 1250.00, 48611.11, 2048, 0, 1596, 136.00
58245, 1779, 1416.67, 34722.22, 2048, 0, 1262, 62.00
58248, 1787, 1500.00, 34722.22, 2048, 0, 1096, 95.00
