Time (ms), Position (count), Velocity (count/s), Acceleration (count/s2), Desired Vel, Desired Acc, control signal, motorCurrent (raw)
96669, 413, 1000.00, 6944.44, 2048, 0, 1048, 25.00
96672, 413, 671.40, 6944.44, 2048, 0, 1376, 529.00
96675, 422, 338.06, -20439.19, 2048, 0, 1709, 508.00
96678, 433, 754.73, -55161.41, 2048, 0, 1293, 469.00
96681, 447, 1666.67, -20439.19, 2048, 0, 381, 411.00
96684, 462, 2833.33, 82939.20, 2048, 0, -785, 0.00
96687, 462, 3333.33, 207939.19, 2048, 0, -1285, 559.00
96690, 482, 2416.67, 214883.61, 2048, 0, -368, 561.00
96693, 485, 2916.67, 62499.98, 2048, 0, -868, 549.00
96696, 487, 1916.67, 6944.41, 2048, 0, 131, 533.00
96699, 487, 2083.33, -118055.55, 2048, 0, -35, 212.00
96702, 488, 416.67, -27777.77, 2048, 0, 1631, 67.00
96705, 488, 250.00, -208333.31, 2048, 0, 1798, 99.00
96708, 488, 83.33, -138888.88, 2048, 0, 1964, 125.00
96711, 488, 83.33, -166666.66, 2048, 0, 1964, 75.00
96714, 487, 0.00, -27777.78, 2048, 0, 2048, 103.00
96717, 487, -83.33, -20833.33, 2048, 0, 2131, 66.00
96720, 488, -83.33, -13888.89, 2048, 0, 2131, 99.00
96723, 489, 0.00, -13888.89, 2048, 0, 2048, 57.00
96726, 492, 166.67, 0.00, 2048, 0, 1881, 49.00
96729, 495, 416.67, 20833.33, 2048, 0, 1631, 50.00
96732, 497, 583.33, 41666.67, 2048, 0, 1464, 30.00
96735, 500, 666.67, 48611.11, 2048, 0, 1381, 57.00
96738, 504, 666.67, 41666.67, 2048, 0, 1381, 27.00
96741, 508, 750.00, 20833.33, 2048, 0, 1298, 61.00
96744, 513, 916.67, 13888.89, 2048, 0, 1131, 29.00
96747, 517, 1083.33, 20833.34, 2048, 0, 964, 69.00
96750, 520, 1083.33, 34722.22, 2048, 0, 964, 30.00
96753, 524, 1000.00, 27777.78, 2048, 0, 1048, 27.00
96756, 528, 916.67, 6944.44, 2048, 0, 1131, 36.00
96759, 531, 916.67, -13888.88, 2048, 0, 1131, 11.00
96762, 535, 916.67, -13888.88, 2048, 0, 1131, 41.00
96765, 538, 916.67, -6944.44, 2048, 0, 1131, 14.00
96768, 542, 833.33, 0.00, 2048, 0, 1214, 47.00
96771, 546, 916.67, -6944.45, 2048, 0, 1131, 19.00
