Time (ms), Position (count), Velocity (count/s), Acceleration (count/s2), Desired Vel, Desired Acc, control signal, motorCurrent (raw)
109851, 1286, 1250.00, 13888.88, 2048, 0, 798, 22.00
109851, 1286, 834.44, 6944.45, 2048, 0, 0, 93.00
109851, 1286, 417.78, 6944.45, 2048, 0, 0, 72.00
109851, 1286, 1.11, 0.00, 2048, 0, 0, 61.00
109851, 1286, 0.00, 0.00, 2048, 0, 0, 53.00
109851, 1286, 0.00, 0.00, 2048, 0, 0, 46.00
109851, 1286, 0.00, 0.00, 2048, 0, 0, 41.00
109851, 1286, 0.00, 0.00, 2048, 0, 0, 35.00
109852, 1286, 0.00, 0.00, 2048, 0, 2048, 25.00
109852, 1286, 0.00, 0.00, 2048, 0, 0, 99.00
109852, 1286, 0.00, 0.00, 2048, 0, 0, 76.00
109852, 1286, 0.00, 0.00, 2048, 0, 0, 65.00
109852, 1286, 0.00, 0.00, 2048, 0, 0, 56.00
109852, 1286, 0.00, 0.00, 2048, 0, 0, 49.00
109852, 1286, 0.00, 0.00, 2048, 0, 0, 42.00
109852, 1286, 0.00, 0.00, 2048, 0, 0, 37.00
109852, 1286, 0.00, 0.00, 2048, 0, 0, 32.00
109852, 1286, 0.00, 0.00, 2048, 0, 0, 28.00
109852, 1286, 0.00, 0.00, 2048, 0, 0, 24.00
109852, 1286, 0.00, 0.00, 2048, 0, 0, 21.00
109853, 1286, 0.00, 0.00, 2048, 0, 2048, 27.00
109854, 1286, 0.00, 0.00, 2048, 0, 2048, 448.00
109857, 1289, 0.00, 0.00, 2048, 0, 2048, 511.00
109860, 1298, 250.00, 0.00, 2048, 0, 1798, 499.00
109863, 1307, 1000.00, 20833.33, 2048, 0, 1048, 452.00
109866, 1319, 1750.00, 83333.34, 2048, 0, 298, 400.00
109869, 1335, 2500.00, 145833.34, 2048, 0, -452, 0.00
109872, 1335, 3083.33, 187500.00, 2048, 0, -1035, 554.00
109875, 1361, 2333.33, 173611.13, 2048, 0, -285, 551.00
109878, 1368, 3500.00, 48611.12, 2048, 0, -1452, 529.00
109881, 1370, 2750.00, 83333.34, 2048, 0, -702, 520.00
109884, 1367, 2916.67, -27777.79, 2048, 0, -868, 508.00
109887, 1368, 500.00, 48611.11, 2048, 0, 1548, 0.00
109890, 1367, 0.00, -250000.00, 2048, 0, 2048, 534.00
109893, 1368, -250.00, -229166.67, 2048, 0, 2298, 518.00
109896, 1367, 83.33, -263888.91, 2048, 0, 1964, 512.00
109899, 1366, -83.33, -34722.22, 2048, 0, 2131, 501.00
109902, 1366, -83.33, -6944.44, 2048, 0, 2131, 460.00
109905, 1375, -166.67, 13888.89, 2048, 0, 2214, 419.00
109908, 1393, 666.67, -20833.33, 2048, 0, 1381, 367.00
109911, 1409, 2250.00, 62500.00, 2048, 0, -202, 303.00
109917, 1438, 3583.33, 194444.44, 2048, 0, -1535, 522.00
109920, 1452, 4041.67, 256944.44, 2048, 0, -1993, 504.00
109923, 1460, 3708.33, 225694.45, 2048, 0, -1660, 516.00
109926, 1462, 3041.67, 65972.23, 2048, 0, -993, 449.00
109929, 1461, 2000.00, -45138.90, 2048, 0, 48, 0.00
109932, 1461, 750.00, -170138.92, 2048, 0, 1298, 176.00
109935, 1461, 83.33, -246527.78, 2048, 0, 1964, 186.00
109938, 1461, -83.33, -246527.78, 2048, 0, 2131, 128.00
109941, 1461, 0.00, -173611.11, 2048, 0, 2048, 155.00
109944, 1460, 0.00, -62500.01, 2048, 0, 2048, 100.00
109947, 1460, -83.33, -6944.44, 2048, 0, 2131, 149.00
109950, 1460, -83.33, 0.00, 2048, 0, 2131, 83.00
109953, 1460, -83.33, -6944.44, 2048, 0, 2131, 88.00
109956, 1461, 0.00, -6944.44, 2048, 0, 2048, 79.00
109959, 1463, 83.33, 6944.44, 2048, 0, 1964, 41.00
109962, 1467, 250.00, 13888.89, 2048, 0, 1798, 74.00
109965, 1471, 583.33, 27777.78, 2048, 0, 1464, 38.00
109968, 1475, 833.33, 48611.11, 2048, 0, 1214, 80.00
109971, 1480, 1000.00, 62500.00, 2048, 0, 1048, 38.00
109974, 1485, 1083.33, 62500.00, 2048, 0, 964, 90.00
109977, 1490, 1166.67, 41666.67, 2048, 0, 881, 34.00
109980, 1494, 1250.00, 27777.77, 2048, 0, 798, 47.00
109983, 1499, 1166.67, 20833.33, 2048, 0, 881, 38.00
109986, 1504, 1166.67, 6944.44, 2048, 0, 881, 8.00
109989, 1510, 1166.67, 0.00, 2048, 0, 881, 43.00
109992, 1516, 1333.33, -6944.45, 2048, 0, 714, 14.00
109995, 1523, 1416.67, 13888.89, 2048, 0, 631, 52.00
109998, 1530, 1583.33, 20833.33, 2048, 0, 464, 21.00
110001, 1537, 1666.67, 34722.22, 2048, 0, 381, 69.00
110004, 1543, 1750.00, 27777.77, 2048, 0, 298, 24.00
110007, 1550, 1666.67, 27777.78, 2048, 0, 381, 49.00
110010, 1556, 1666.67, 6944.45, 2048, 0, 381, 33.00
110013, 1562, 1583.33, 0.00, 2048, 0, 464, 5.00
110016, 1567, 1583.33, -13888.90, 2048, 0, 464, 37.00
110019, 1573, 1416.67, -6944.45, 2048, 0, 631, 4.00
110022, 1579, 1416.67, -20833.32, 2048, 0, 631, 48.00
110025, 1584, 1416.67, -13888.89, 2048, 0, 631, 6.00
110028, 1590, 1416.67, -13888.89, 2048, 0, 631, 62.00
110031, 1597, 1416.67, 0.00, 2048, 0, 631, 16.00
110034, 1604, 1500.00, 0.00, 2048, 0, 548, 52.00
110037, 1611, 1666.67, 6944.45, 2048, 0, 381, 23.00
110040, 1618, 1750.00, 20833.32, 2048, 0, 298, 10.00
110043, 1625, 1750.00, 27777.78, 2048, 0, 298, 32.00
110046, 1632, 1750.00, 20833.33, 2048, 0, 298, 8.00
110049, 1638, 1750.00, 6944.46, 2048, 0, 298, 45.00
110052, 1644, 1666.67, 0.00, 2048, 0, 381, 3.00
