Time (ms), Position (count), Velocity (count/s), Acceleration (count/s2), Desired Vel, Desired Acc, control signal, motorCurrent (raw)
55372, 2489, 0.00, 0.00, 2048, 0, 2048, 22.00
55374, 2489, 0.00, 0.00, 2048, 0, 2048, 527.00
55377, 2491, 0.00, 0.00, 2048, 0, 2048, 516.00
55380, 2501, -14.51, 0.00, 2048, 0, 2062, 503.00
55383, 2514, 222.22, 0.00, 2048, 0, 1825, 444.00
55386, 2530, 2083.33, 18518.52, 2048, 0, -35, 366.00
55389, 2545, 3250.00, 173611.13, 2048, 0, -1202, 387.00
55392, 2556, 3666.67, 272042.59, 2048, 0, -1618, 295.00
55395, 2567, 3500.00, 287037.03, 2048, 0, -1452, 251.00
55398, 2577, 3083.33, 118055.56, 2048, 0, -1035, 222.00
55401, 2585, 2666.67, -13888.87, 2048, 0, -618, 163.00
55404, 2591, 2416.67, -83333.34, 2048, 0, -368, 180.00
55407, 2595, 2000.00, -90277.80, 2048, 0, 48, 131.00
55410, 2599, 1500.00, -90277.80, 2048, 0, 547, 117.00
55413, 2602, 1166.67, -97222.22, 2048, 0, 881, 59.00
55416, 2606, 916.67, -104166.67, 2048, 0, 1131, 100.00
55419, 2610, 916.67, -90277.77, 2048, 0, 1131, 52.00
55422, 2613, 916.67, -48611.11, 2048, 0, 1131, 39.00
55425, 2617, 916.67, -20833.33, 2048, 0, 1131, 59.00
55428, 2622, 916.67, 0.00, 2048, 0, 1131, 20.00
55431, 2626, 1000.00, 0.00, 2048, 0, 1048, 60.00
55434, 2630, 1083.33, 6944.44, 2048, 0, 964, 24.00
55437, 2635, 1083.33, 13888.89, 2048, 0, 964, 62.00
55440, 2640, 1083.33, 13888.88, 2048, 0, 964, 31.00
55443, 2644, 1166.67, 6944.45, 2048, 0, 881, 82.00
55446, 2650, 1166.67, 6944.44, 2048, 0, 881, 35.00
55449, 2655, 1250.00, 6944.44, 2048, 0, 798, 34.00
55452, 2661, 1250.00, 13888.88, 2048, 0, 798, 40.00
55455, 2668, 1416.67, 6944.45, 2048, 0, 631, 3.00
55458, 2674, 1500.00, 20833.33, 2048, 0, 548, 46.00
55461, 2681, 1583.33, 20833.33, 2048, 0, 464, 8.00
55464, 2687, 1666.67, 27777.77, 2048, 0, 381, 53.00
55467, 2694, 1583.33, 20833.32, 2048, 0, 464, 13.00
55470, 2700, 1666.67, 6944.44, 2048, 0, 381, 68.00
55473, 2706, 1583.33, 6944.44, 2048, 0, 464, 20.00
55476, 2712, 1583.33, -6944.44, 2048, 0, 464, 36.00
55479, 2717, 1500.00, 0.00, 2048, 0, 548, 26.00
55482, 2723, 1416.67, -13888.87, 2048, 0, 631, 7.00
55485, 2729, 1416.67, -13888.88, 2048, 0, 631, 35.00
55488, 2734, 1416.67, -13888.88, 2048, 0, 631, 3.00
55491, 2741, 1416.67, -6944.45, 2048, 0, 631, 45.00
55494, 2748, 1500.00, 0.00, 2048, 0, 548, 7.00
55497, 2755, 1583.33, 6944.45, 2048, 0, 464, 64.00
55500, 2763, 1750.00, 13888.88, 2048, 0, 298, 19.00
55503, 2771, 1833.33, 27777.78, 2048, 0, 214, 45.00
55506, 2778, 1916.67, 27777.77, 2048, 0, 131, 428.00
55509, 2787, 1916.67, 27777.79, 2048, 0, 131, 120.00
55512, 2802, 2000.00, 13888.90, 2048, 0, 48, 203.00
55515, 2813, 2583.33, 13888.90, 2048, 0, -535, 78.00
55521, 2828, 2916.67, 55555.54, 2048, 0, -868, 226.00
55524, 2836, 2791.67, 69444.44, 2048, 0, -743, 240.00
55527, 2841, 2208.33, 52083.33, 2048, 0, -160, 176.00
55530, 2842, 1708.33, -45138.87, 2048, 0, 339, 1.00
55533, 2843, 1166.67, -100694.45, 2048, 0, 881, 442.00
55536, 2848, 583.33, -135416.67, 2048, 0, 1464, 320.00
55539, 2854, 583.33, -135416.69, 2048, 0, 1464, 361.00
55542, 2864, 1000.00, -93750.01, 2048, 0, 1048, 219.00
55545, 2875, 1750.00, -13888.90, 2048, 0, 298, 271.00
55548, 2886, 2250.00, 97222.22, 2048, 0, -202, 202.00
55551, 2895, 2666.67, 138888.89, 2048, 0, -618, 536.00
55554, 2900, 2583.33, 138888.91, 2048, 0, -535, 529.00
55557, 2903, 2083.33, 69444.46, 2048, 0, -35, 500.00
55560, 2903, 1416.67, -13888.87, 2048, 0, 631, 61.00
55563, 2903, 666.67, -104166.67, 2048, 0, 1381, 97.00
55566, 2903, 250.00, -159722.23, 2048, 0, 1798, 91.00
55569, 2904, 0.00, -152777.78, 2048, 0, 2048, 61.00
55572, 2904, 83.33, -118055.55, 2048, 0, 1964, 80.00
55575, 2905, 83.33, -48611.11, 2048, 0, 1964, 50.00
55578, 2907, 166.67, -13888.89, 2048, 0, 1881, 80.00
55581, 2909, 250.00, 13888.89, 2048, 0, 1798, 39.00
55584, 2911, 416.67, 13888.89, 2048, 0, 1631, 89.00
55587, 2913, 500.00, 27777.78, 2048, 0, 1548, 42.00
55590, 2916, 500.00, 27777.78, 2048, 0, 1548, 51.00
55593, 2920, 583.33, 20833.33, 2048, 0, 1464, 38.00
55596, 2923, 750.00, 13888.89, 2048, 0, 1298, 17.00
55599, 2926, 833.33, 20833.33, 2048, 0, 1214, 48.00
55602, 2930, 833.33, 27777.78, 2048, 0, 1214, 21.00
55605, 2933, 833.33, 20833.33, 2048, 0, 1214, 47.00
55608, 2937, 833.33, 6944.45, 2048, 0, 1214, 26.00
55611, 2941, 916.67, 0.00, 2048, 0, 1131, 60.00
55614, 2945, 916.67, 6944.45, 2048, 0, 1131, 22.00
55617, 2949, 1000.00, 6944.45, 2048, 0, 1048, 56.00
55620, 2953, 1000.00, 13888.88, 2048, 0, 1048, 28.00
55623, 2957, 1000.00, 6944.44, 2048, 0, 1048, 6.00
55626, 2961, 1000.00, 6944.44, 2048, 0, 1048, 37.00
55629, 2965, 1000.00, 0.00, 2048, 0, 1048, 10.00
55632, 2968, 1000.00, 0.00, 2048, 0, 1048, 45.00
55635, 2972, 916.67, 0.00, 2048, 0, 1131, 15.00
55638, 2975, 916.67, -6944.44, 2048, 0, 1131, 51.00
55641, 2978, 833.33, -6944.44, 2048, 0, 1214, 19.00
55644, 2982, 833.33, -13888.89, 2048, 0, 1214, 50.00
55647, 2986, 833.33, -6944.44, 2048, 0, 1214, 24.00
55650, 2989, 916.67, -6944.45, 2048, 0, 1131, 9.00
55653, 2993, 916.67, 6944.45, 2048, 0, 1131, 33.00
55656, 2997, 916.67, 6944.44, 2048, 0, 1131, 4.00
55659, 3002, 916.67, 6944.45, 2048, 0, 1131, 37.00
