Time (ms), Position (count), Velocity (count/s), Acceleration (count/s2), Desired Vel, Desired Acc, control signal, motorCurrent (raw)
57189, 779, 0.00, 0.00, 2048, 0, 2048, 22.00
57192, 781, 0.00, 0.00, 2048, 0, 2048, 532.00
57195, 788, 0.00, 0.00, 2048, 0, 2048, 515.00
57198, 799, 6.81, 0.00, 2048, 0, 2041, 462.00
57201, 811, 1000.00, 0.00, 2048, 0, 1048, 415.00
57204, 827, 2500.00, 83333.34, 2048, 0, -452, 0.00
57207, 844, 3250.00, 208333.34, 2048, 0, -1202, 575.00
57210, 851, 3750.00, 270265.78, 2048, 0, -1702, 574.00
57213, 854, 3333.33, 229166.67, 2048, 0, -1285, 546.00
57216, 854, 2250.00, 69444.44, 2048, 0, -202, 541.00
57219, 853, 833.33, -83333.34, 2048, 0, 1214, 276.00
57222, 852, 166.67, -243055.56, 2048, 0, 1881, 525.00
57228, 850, -166.67, -263888.91, 2048, 0, 2214, 461.00
57231, 850, -250.00, -187500.00, 2048, 0, 2298, 437.00
57234, 862, -166.67, -76388.88, 2048, 0, 2214, 354.00
57237, 874, 916.67, -13888.89, 2048, 0, 1131, 353.00
57240, 888, 2000.00, 90277.78, 2048, 0, 48, 252.00
57243, 901, 3166.67, 187500.00, 2048, 0, -1118, 134.00
57246, 912, 3250.00, 277777.78, 2048, 0, -1202, 323.00
57249, 924, 3166.67, 194444.44, 2048, 0, -1118, 315.00
57252, 934, 3000.00, 97222.23, 2048, 0, -952, 226.00
57258, 946, 2750.00, -13888.87, 2048, 0, -702, 183.00
57261, 948, 2333.33, -31250.00, 2048, 0, -285, 193.00
57264, 949, 1500.00, -59027.79, 2048, 0, 548, 135.00
57267, 950, 750.00, -114583.34, 2048, 0, 1298, 157.00
57270, 951, 333.33, -166666.66, 2048, 0, 1714, 113.00
57273, 953, 250.00, -166666.66, 2048, 0, 1798, 71.00
57276, 956, 333.33, -104166.66, 2048, 0, 1714, 94.00
57279, 958, 500.00, -34722.22, 2048, 0, 1548, 54.00
57282, 962, 583.33, 13888.89, 2048, 0, 1464, 88.00
57285, 966, 750.00, 27777.78, 2048, 0, 1298, 47.00
57288, 970, 833.33, 34722.22, 2048, 0, 1214, 95.00
57291, 974, 1000.00, 27777.78, 2048, 0, 1048, 42.00
57294, 979, 1000.00, 34722.22, 2048, 0, 1048, 101.00
57297, 983, 1083.33, 20833.33, 2048, 0, 964, 39.00
57300, 988, 1083.33, 20833.33, 2048, 0, 964, 40.00
57303, 993, 1166.67, 6944.45, 2048, 0, 881, 41.00
57306, 999, 1166.67, 13888.88, 2048, 0, 881, 10.00
57309, 1005, 1333.33, 6944.44, 2048, 0, 714, 48.00
57312, 1011, 1416.67, 20833.32, 2048, 0, 631, 14.00
57315, 1018, 1500.00, 20833.33, 2048, 0, 548, 61.00
57318, 1025, 1583.33, 27777.78, 2048, 0, 464, 20.00
57321, 1031, 1666.67, 20833.33, 2048, 0, 381, 67.00
57324, 1038, 1666.67, 20833.32, 2048, 0, 381, 25.00
57327, 1044, 1666.67, 13888.88, 2048, 0, 381, 35.00
57330, 1050, 1583.33, 6944.44, 2048, 0, 464, 32.00
57333, 1056, 1583.33, -6944.44, 2048, 0, 464, 8.00
57336, 1062, 1500.00, -6944.45, 2048, 0, 548, 41.00
57339, 1067, 1500.00, -13888.87, 2048, 0, 548, 4.00
57342, 1073, 1416.67, -6944.44, 2048, 0, 631, 52.00
57345, 1078, 1416.67, -13888.88, 2048, 0, 631, 7.00
57348, 1084, 1333.33, -6944.45, 2048, 0, 714, 67.00
57351, 1091, 1416.67, -13888.90, 2048, 0, 631, 16.00
57354, 1098, 1500.00, 0.00, 2048, 0, 548, 39.00
57357, 1105, 1666.67, 6944.45, 2048, 0, 381, 24.00
57360, 1112, 1750.00, 27777.77, 2048, 0, 298, 7.00
57363, 1119, 1750.00, 27777.78, 2048, 0, 298, 33.00
57366, 1126, 1750.00, 20833.33, 2048, 0, 298, 6.00
57369, 1132, 1750.00, 6944.46, 2048, 0, 298, 47.00
57372, 1138, 1666.67, 0.00, 2048, 0, 381, 5.00
57375, 1143, 1583.33, -6944.45, 2048, 0, 464, 66.00
57378, 1149, 1416.67, -13888.90, 2048, 0, 631, 14.00
57381, 1154, 1416.67, -27777.78, 2048, 0, 631, 52.00
57384, 1160, 1333.33, -20833.33, 2048, 0, 714, 20.00
57387, 1166, 1416.67, -20833.33, 2048, 0, 631, 8.00
57390, 1173, 1416.67, 0.00, 2048, 0, 631, 29.00
57393, 1179, 1583.33, 0.00, 2048, 0, 464, 5.00
57396, 1187, 1583.33, 20833.33, 2048, 0, 464, 40.00
57399, 1194, 1750.00, 13888.89, 2048, 0, 298, 5.00
57402, 1201, 1750.00, 27777.78, 2048, 0, 298, 55.00
57405, 1208, 1833.33, 13888.90, 2048, 0, 214, 10.00
57408, 1216, 1750.00, 20833.33, 2048, 0, 298, 413.00
57411, 1225, 1833.33, 0.00, 2048, 0, 214, 391.00
57414, 1230, 2000.00, 6944.44, 2048, 0, 48, 301.00
57417, 1252, 1833.33, 13888.90, 2048, 0, 214, 113.00
57423, 1288, 3000.00, 6944.45, 2048, 0, -952, 0.00
57426, 1304, 3750.00, 48611.12, 2048, 0, -1702, 532.00
57429, 1313, 4666.67, 97222.22, 2048, 0, -2618, 530.00
57432, 1320, 3583.33, 187500.03, 2048, 0, -1535, 540.00
57435, 1322, 2666.67, 48611.12, 2048, 0, -618, 511.00
57438, 1323, 1500.00, -90277.77, 2048, 0, 548, 2.00
57441, 1322, 833.33, -263888.94, 2048, 0, 1214, 518.00
57444, 1324, 166.67, -229166.69, 2048, 0, 1881, 509.00
57450, 1337, 166.67, -208333.33, 2048, 0, 1881, 388.00
57453, 1349, 625.00, -111111.09, 2048, 0, 1423, 362.00
57456, 1367, 1708.33, -17361.11, 2048, 0, 339, 311.00
57459, 1384, 3041.67, 128472.22, 2048, 0, -993, 0.00
57462, 1397, 3916.67, 239583.34, 2048, 0, -1868, 541.00
57465, 1406, 4000.00, 274305.56, 2048, 0, -1952, 497.00
57468, 1413, 3250.00, 190972.22, 2048, 0, -1202, 505.00
57471, 1416, 2416.67, 17361.11, 2048, 0, -368, 517.00
57477, 1415, 1583.33, -124999.98, 2048, 0, 464, 0.00
57480, 1415, 791.67, -166666.67, 2048, 0, 1256, 547.00
57483, 1415, 208.33, -170138.89, 2048, 0, 1839, 518.00
57486, 1414, -41.67, -149305.56, 2048, 0, 2089, 495.00
57489, 1415, -83.33, -135416.66, 2048, 0, 2131, 416.00
57492, 1422, 0.00, -72916.66, 2048, 0, 2048, 386.00
57495, 1428, 583.33, -17361.11, 2048, 0, 1464, 314.00
57498, 1456, 1166.67, 52083.33, 2048, 0, 881, 309.00
57501, 1474, 3416.67, 104166.66, 2048, 0, -1368, 111.00
57504, 405, 4333.33, 284722.22, 2048, 0, -2285, 376.00
57507, 1498, -85250.00, 312500.00, 2048, 0, 87298, 553.00
57510, 1510, 3500.00, -7201389.00, 2048, 0, -1452, 1.00
57513, 1524, 3000.00, 6944.50, 2048, 0, -952, 519.00
57516, 1528, 93250.00, -111111.17, 2048, 0, -91202, 512.00
57519, 1529, 2500.00, 14875000.00, 2048, 0, -451, 526.00
57522, 1529, 1583.33, -83333.00, 2048, 0, 464, 1.00
57525, 1530, 416.67, -118055.37, 2048, 0, 1631, 524.00
57528, 1527, 166.67, -7736111.00, 2048, 0, 1881, 501.00
57531, 1530, -166.67, -194444.42, 2048, 0, 2214, 459.00
57534, 1541, 83.33, -145833.34, 2048, 0, 1964, 389.00
57537, 1552, 916.67, -27777.78, 2048, 0, 1131, 359.00
57540, 1566, 2083.33, 62500.00, 2048, 0, -35, 3.00
57543, 1574, 3000.00, 187500.00, 2048, 0, -952, 367.00
57546, 1588, 2750.00, 243055.55, 2048, 0, -702, 286.00
57549, 1598, 3000.00, 152777.77, 2048, 0, -952, 285.00
57552, 1608, 2666.67, 76388.88, 2048, 0, -618, 213.00
57555, 1613, 2833.33, -27777.79, 2048, 0, -785, 188.00
57558, 1618, 2083.33, 6944.44, 2048, 0, -35, 163.00
