Time (ms), Position (count), Velocity (count/s), Acceleration (count/s2), Desired Vel, Desired Acc, control signal, motorCurrent (raw)
68494, 3847, 0.00, 0.00, 2048, 0, 4096, 24.00
68496, 3847, 0.00, 0.00, 2048, 0, 4096, 501.00
68499, 3850, 0.00, 0.00, 2048, 0, 4096, 490.00
68502, 3859, 250.00, 0.00, 2048, 0, 3596, 481.00
68505, 3873, 1000.00, 20833.33, 2048, 0, 2096, 434.00
68508, 3889, 2166.67, 83333.34, 2048, 0, -237, 360.00
68511, 3902, 3250.00, 180555.55, 2048, 0, -2404, 548.00
68514, 3911, 3583.33, 250000.00, 2048, 0, -3070, 504.00
68517, 3916, 3166.67, 215277.80, 2048, 0, -2237, 495.00
68520, 3917, 2250.00, 83333.34, 2048, 0, -404, 498.00
68523, 3917, 1250.00, -83333.34, 2048, 0, 1596, 0.00
68526, 3917, 500.00, -194444.47, 2048, 0, 3096, 492.00
68529, 3916, 83.33, -222222.23, 2048, 0, 3929, 486.00
68535, 3920, -83.33, -180555.56, 2048, 0, 4262, 430.00
68538, 3928, 83.33, -104166.66, 2048, 0, 3929, 392.00
68541, 3945, 750.00, -27777.78, 2048, 0, 2596, 352.00
68544, 3965, 2250.00, 62500.00, 2048, 0, -404, 0.00
68550, 3989, 3750.00, 194444.44, 2048, 0, -3404, 498.00
68556, 3996, 4083.33, 243055.56, 2048, 0, -4070, 486.00
68562, 3995, 2958.33, 201388.89, 2048, 0, -1820, 465.00
68565, 3996, 1250.00, 29513.88, 2048, 0, 1596, 289.00
68568, 3994, 333.33, -175347.22, 2048, 0, 3429, 476.00
68571, 3993, -125.00, -265625.00, 2048, 0, 4346, 489.00
68574, 3993, -166.67, -256944.44, 2048, 0, 4429, 484.00
68577, 3994, -250.00, -118055.55, 2048, 0, 4596, 473.00
68580, 3993, 0.00, -48611.11, 2048, 0, 4096, 430.00
68583, 3995, 0.00, 10416.67, 2048, 0, 4096, 399.00
68586, 3996, 166.67, 13888.89, 2048, 0, 3762, 349.00
68589, 4011, 166.67, 34722.22, 2048, 0, 3762, 324.00
68592, 4033, 1500.00, 13888.89, 2048, 0, 1096, 268.00
68595, 4057, 3166.67, 125000.01, 2048, 0, -2237, 0.00
68598, 4074, 5083.33, 250000.00, 2048, 0, -6070, 529.00
68604, 4, 5250.00, 409722.25, 2048, 0, -6404, 493.00
68607, 9, 4500.00, 305555.56, 2048, 0, -4904, 489.00
68610, 10, 2916.67, 104166.67, 2048, 0, -1737, 490.00
68613, 10, 1583.33, -187500.00, 2048, 0, 929, 0.00
68616, 10, 500.00, -305555.56, 2048, 0, 3096, 486.00
68619, 2, 83.33, -333333.34, 2048, 0, 3929, 477.00
68622, 10, -666.67, -236111.13, 2048, 0, 5429, 471.00
68625, 12, 0.00, -187500.00, 2048, 0, 4096, 453.00
68628, 27, 166.67, -41666.66, 2048, 0, 3762, 396.00
68631, 40, 2083.33, 6944.45, 2048, 0, -70, 0.00
68634, 55, 2500.00, 229166.69, 2048, 0, -904, 448.00
68637, 65, 3583.33, 208333.33, 2048, 0, -3070, 333.00
68640, 71, 3166.67, 284722.22, 2048, 0, -2237, 332.00
68643, 77, 2583.33, 90277.77, 2048, 0, -1070, 267.00
68646, 80, 1833.33, 6944.43, 2048, 0, 429, 0.00
68649, 81, 1250.00, -145833.36, 2048, 0, 1596, 159.00
68652, 84, 833.33, -159722.23, 2048, 0, 2429, 99.00
68655, 88, 583.33, -145833.33, 2048, 0, 2929, 151.00
68658, 93, 666.67, -104166.66, 2048, 0, 2762, 85.00
68661, 98, 1000.00, -48611.11, 2048, 0, 2096, 143.00
68664, 105, 1166.67, 13888.89, 2048, 0, 1762, 81.00
68667, 112, 1416.67, 48611.11, 2048, 0, 1262, 104.00
68670, 119, 1583.33, 62499.99, 2048, 0, 929, 76.00
68673, 125, 1750.00, 48611.11, 2048, 0, 596, 59.00
68676, 132, 1666.67, 48611.11, 2048, 0, 762, 78.00
68679, 139, 1666.67, 20833.33, 2048, 0, 762, 27.00
68682, 145, 1666.67, 6944.44, 2048, 0, 762, 88.00
68685, 152, 1666.67, -6944.46, 2048, 0, 762, 29.00
68688, 159, 1666.67, 0.00, 2048, 0, 762, 105.00
