Time (ms), Position (count), Velocity (count/s), Acceleration (count/s2), Desired Vel, Desired Acc, control signal, motorCurrent (raw)
89769, 233, 916.67, -0.01, 2048, 0, 1131, 23.00
89772, 233, 585.10, -6944.44, 2048, 0, 1462, 534.00
89775, 240, 335.10, -34574.62, 2048, 0, 1712, 523.00
89778, 250, 585.10, -48463.52, 2048, 0, 1462, 485.00
89781, 264, 1416.67, -27630.19, 2048, 0, 631, 433.00
89784, 279, 2583.33, 69296.83, 2048, 0, -535, 0.00
89787, 280, 3250.00, 187352.38, 2048, 0, -1202, 566.00
89790, 296, 2500.00, 222074.63, 2048, 0, -451, 559.00
89793, 302, 2666.67, 90277.77, 2048, 0, -618, 544.00
89796, 303, 1916.67, 6944.46, 2048, 0, 131, 541.00
89799, 302, 1916.67, -111111.10, 2048, 0, 131, 396.00
89805, 305, 500.00, -48611.09, 2048, 0, 1548, 291.00
89808, 307, 125.00, -121527.78, 2048, 0, 1923, 331.00
89811, 310, 208.33, -90277.78, 2048, 0, 1839, 198.00
89814, 314, 541.67, -83333.34, 2048, 0, 1506, 266.00
89817, 323, 750.00, 3472.23, 2048, 0, 1298, 165.00
89820, 335, 1333.33, 52083.34, 2048, 0, 714, 185.00
89823, 351, 2083.33, 93750.00, 2048, 0, -35, 143.00
89826, 362, 3083.33, 128472.23, 2048, 0, -1035, 310.00
89829, 369, 3250.00, 194444.47, 2048, 0, -1202, 253.00
89832, 373, 2833.33, 159722.23, 2048, 0, -785, 230.00
89835, 377, 1833.33, 62499.98, 2048, 0, 214, 185.00
89841, 395, 1250.00, -104166.67, 2048, 0, 798, 420.00
89844, 410, 1416.67, -142361.13, 2048, 0, 631, 385.00
89847, 427, 2333.33, -93749.98, 2048, 0, -285, 0.00
89850, 438, 3416.67, 65972.23, 2048, 0, -1368, 544.00
89856, 444, 3583.33, 180555.55, 2048, 0, -1535, 536.00
89859, 449, 2583.33, 173611.11, 2048, 0, -535, 440.00
89862, 449, 1583.33, 13888.86, 2048, 0, 464, 1.00
89868, 451, 666.67, -159722.22, 2048, 0, 1381, 514.00
89871, 455, 500.00, -204861.11, 2048, 0, 1548, 472.00
89874, 460, 416.67, -135416.66, 2048, 0, 1631, 393.00
89877, 466, 833.33, -59027.78, 2048, 0, 1214, 398.00
89880, 477, 1250.00, 13888.89, 2048, 0, 798, 306.00
89883, 494, 1833.33, 62500.00, 2048, 0, 214, 309.00
89886, 517, 2833.33, 118055.55, 2048, 0, -785, 0.00
89889, 534, 4250.00, 166666.69, 2048, 0, -2202, 474.00
89892, 543, 4750.00, 250000.00, 2048, 0, -2702, 282.00
89895, 550, 4083.33, 243055.56, 2048, 0, -2035, 527.00
89898, 556, 2750.00, 104166.64, 2048, 0, -701, 534.00
89901, 557, 1833.33, -125000.02, 2048, 0, 214, 0.00
89904, 558, 1166.67, -243055.56, 2048, 0, 881, 522.00
89907, 564, 666.67, -243055.55, 2048, 0, 1381, 471.00
89910, 572, 666.67, -173611.09, 2048, 0, 1381, 448.00
89913, 582, 1250.00, -97222.21, 2048, 0, 798, 362.00
89916, 592, 2000.00, 6944.45, 2048, 0, 48, 343.00
89919, 604, 2333.33, 111111.11, 2048, 0, -285, 175.00
89922, 613, 2666.67, 138888.88, 2048, 0, -618, 338.00
89925, 622, 2583.33, 118055.55, 2048, 0, -535, 247.00
89928, 631, 2500.00, 48611.11, 2048, 0, -452, 260.00
89931, 637, 2250.00, 13888.90, 2048, 0, -202, 185.00
89934, 639, 2000.00, -34722.21, 2048, 0, 48, 0.00
89937, 639, 1416.67, -48611.11, 2048, 0, 631, 103.00
89940, 640, 666.67, -90277.78, 2048, 0, 1381, 166.00
89943, 642, 250.00, -131944.44, 2048, 0, 1798, 102.00
89946, 644, 250.00, -145833.33, 2048, 0, 1798, 90.00
89949, 646, 416.67, -97222.22, 2048, 0, 1631, 91.00
89952, 648, 500.00, -20833.33, 2048, 0, 1548, 50.00
89955, 652, 500.00, 20833.33, 2048, 0, 1548, 87.00
89958, 656, 666.67, 20833.33, 2048, 0, 1381, 42.00
89961, 662, 833.33, 20833.33, 2048, 0, 1214, 82.00
89964, 667, 1166.67, 27777.78, 2048, 0, 881, 44.00
89967, 672, 1250.00, 55555.56, 2048, 0, 798, 76.00
89970, 677, 1333.33, 48611.11, 2048, 0, 714, 43.00
89973, 683, 1250.00, 41666.66, 2048, 0, 798, 49.00
89976, 689, 1333.33, 6944.44, 2048, 0, 714, 46.00
89979, 695, 1416.67, 6944.44, 2048, 0, 631, 12.00
89982, 700, 1500.00, 6944.45, 2048, 0, 548, 49.00
89985, 705, 1416.67, 20833.33, 2048, 0, 631, 17.00
89988, 711, 1333.33, 6944.45, 2048, 0, 714, 53.00
89991, 716, 1333.33, -6944.45, 2048, 0, 714, 20.00
89994, 722, 1333.33, -13888.90, 2048, 0, 714, 73.00
89997, 728, 1416.67, -6944.45, 2048, 0, 631, 25.00
90000, 735, 1416.67, 6944.45, 2048, 0, 631, 45.00
90003, 742, 1583.33, 6944.45, 2048, 0, 464, 34.00
90006, 749, 1666.67, 20833.33, 2048, 0, 381, 5.00
90009, 757, 1750.00, 20833.32, 2048, 0, 298, 39.00
90012, 764, 1833.33, 27777.78, 2048, 0, 214, 3.00
